,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
740,AAL240,AA240,ab436f,N825AA,B789,KDFW,LIRF,2021-06-30 20:43:38+00:00,2021-07-01 06:33:15+00:00,2021-07-01 00:00:00+00:00,32.87677312301377,-97.02996078802612,304.8,41.81488037109375,12.22665960138494,7.62
968,AZA603,AZ603,4caa9b,EI-EJP,A332,KJFK,LIRF,2021-06-30 21:17:04+00:00,2021-07-01 04:52:07+00:00,2021-07-01 00:00:00+00:00,40.6214361675715,-73.78630204634231,0.0,41.82094767942267,12.22407851108285,38.1
2821,ABR257,,4ca1b2,EI-DAC,B738,LEBL,LIRF,2021-06-30 23:04:59+00:00,2021-07-01 00:14:49+00:00,2021-07-01 00:00:00+00:00,41.30356610831568,2.097389914772727,0.0,41.85292053222656,12.25855740633878,53.34
8440,ETH702,ET702,040127,ET-ATK,B788,,LIRF,2021-07-01 00:50:29+00:00,2021-07-01 02:50:10+00:00,2021-07-01 00:00:00+00:00,33.74404131355932,25.44525146484375,11887.2,41.85598754882812,12.25730895996094,68.58
8885,MSA9784,,4cab6b,,,LIEE,LIRF,2021-07-01 00:58:39+00:00,2021-07-01 01:35:51+00:00,2021-07-01 00:00:00+00:00,39.2748195842161,9.0269775390625,609.6,41.85232388771186,12.2588259674782,53.34
9448,MSA976P,,4ca907,,,LICJ,LIRF,2021-07-01 01:09:13+00:00,2021-07-01 01:50:56+00:00,2021-07-01 00:00:00+00:00,38.27581787109375,13.14607660821144,1524.0,41.85586185778602,12.25735686546148,76.2
10034,MSA9762,,4cafcb,,,LICZ,LIRF,2021-07-01 01:19:50+00:00,2021-07-01 02:14:20+00:00,2021-07-01 00:00:00+00:00,37.47573852539062,14.93976998836436,1524.0,41.85585021972656,12.25743380459872,76.2
11845,AZA895,AZ895,4ca6f1,EI-DSU,A320,HECA,LIRF,2021-07-01 01:55:31+00:00,2021-07-01 04:56:56+00:00,2021-07-01 00:00:00+00:00,30.12657165527344,31.43339269301471,304.8,41.81596658997616,12.22618635310683,22.86
12485,DAL62,,ab35d3,N821NW,A333,KATL,LIRF,2021-07-01 02:08:48+00:00,2021-07-01 10:57:22+00:00,2021-07-01 00:00:00+00:00,33.635009765625,-84.40381108498087,304.8,41.81401062011719,12.22703413529829,0.0
15460,ELY385,,73806e,4X-EKJ,B738,LLBG,LIRF,2021-07-01 03:11:59+00:00,2021-07-01 06:22:57+00:00,2021-07-01 00:00:00+00:00,32.013648081634,34.86567283163265,0.0,41.81881713867188,12.22497419877486,30.48
18356,RYR7104,,4d227a,,,,LIRF,2021-07-01 04:23:54+00:00,2021-07-01 05:15:58+00:00,2021-07-01 00:00:00+00:00,40.78623962402344,17.7386474609375,2133.6,41.8566066935911,12.25703749545785,76.2
18536,RYR7XB,,4d2259,,,,LIRF,2021-07-01 04:28:41+00:00,2021-07-01 05:11:22+00:00,2021-07-01 00:00:00+00:00,38.31030376886917,13.19284853727921,1524.0,41.85420227050781,12.25799560546875,60.96
18604,NAX3730,,47a039,LN-NHA,B738,EKCH,LIRF,2021-07-01 04:30:25+00:00,2021-07-01 06:28:29+00:00,2021-07-01 00:00:00+00:00,55.6140964314089,12.65007019042969,0.0,41.82357788085938,12.22297668457031,60.96
18621,RYR6NC,,4d2248,,,,LIRF,2021-07-01 04:30:42+00:00,2021-07-01 05:22:56+00:00,2021-07-01 00:00:00+00:00,37.59032685877913,15.3142846148947,3048.0,41.85525512695312,12.25755864923651,68.58
18835,WZZ146,,471f33,HA-LVF,A21N,,LIRF,2021-07-01 04:36:30+00:00,2021-07-01 05:30:27+00:00,2021-07-01 00:00:00+00:00,37.67903137207031,15.43205098902926,3352.8,41.85628082792638,12.2571652434593,83.82000000000001
18976,NAX5NE,,4aca4f,,,ESSA,LIRF,2021-07-01 04:40:10+00:00,2021-07-01 07:19:26+00:00,2021-07-01 00:00:00+00:00,59.66377258300781,17.9791259765625,0.0,41.8546142578125,12.25787076083096,68.58
18983,AZA1590,AZ1590,3000d0,I-BIKO,A320,LIEE,LIRF,2021-07-01 04:40:20+00:00,2021-07-01 05:21:58+00:00,2021-07-01 00:00:00+00:00,39.2603759765625,9.044196087381115,0.0,41.81955111228813,12.22465337708939,38.1
19521,AZA3FH,,4ca8ec,EI-IMC,A319,LIBD,LIRF,2021-07-01 04:54:16+00:00,2021-07-01 05:37:07+00:00,2021-07-01 00:00:00+00:00,41.13569641113281,16.75067138671875,0.0,41.85745239257812,12.25674715909091,83.82000000000001
19575,AZA1432,AZ1432,4ca9bd,EI-IMS,A319,LIMF,LIRF,2021-07-01 04:55:29+00:00,2021-07-01 05:41:58+00:00,2021-07-01 00:00:00+00:00,45.25589765128443,7.729819693216464,1828.8,41.85511702198093,12.25767623546512,60.96
19928,AZA11MR,,4caab4,EI-IMX,A319,,LIRF,2021-07-01 05:03:27+00:00,2021-07-01 05:40:36+00:00,2021-07-01 00:00:00+00:00,39.77041470802436,15.3023681640625,8534.4,41.85544288764566,12.25748461346294,68.58
