,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
3087,UAL42,UA42,aaac4a,N787UA,B772,KIAD,LIRF,2019-06-30 22:47:28+00:00,2019-07-01 06:58:21+00:00,2019-07-01 00:00:00+00:00,38.93391754667638,-77.45686340332031,0.0,41.86555480957031,12.20543601296165,243.84
3090,DAL236,DL236,a1775f,N194DN,B763,,LIRF,2019-06-30 22:47:41+00:00,2019-07-01 07:38:47+00:00,2019-07-01 00:00:00+00:00,42.25155587923729,-82.03663670739463,5791.2,41.86847751423464,12.25205532340116,83.82000000000002
3224,AZA62J,,4caab7,EI-ISO,B772,KLAX,LIRF,2019-06-30 22:53:39+00:00,2019-07-01 10:09:18+00:00,2019-07-01 00:00:00+00:00,33.93658447265625,-118.41249427016899,0.0,41.84906523106461,12.21238956894986,167.64
3227,ETD85,,8962e6,A6-ETH,B77W,,LIRF,2019-06-30 22:53:51+00:00,2019-07-01 04:23:28+00:00,2019-07-01 00:00:00+00:00,24.851213875463447,54.2272200674381,3962.4,41.83509955971928,12.21813822901526,91.44
3326,AZA679,AZ679,4ca1e1,EI-DBM,B772,SBGR,LIRF,2019-06-30 22:57:58+00:00,2019-07-01 09:57:13+00:00,2019-07-01 00:00:00+00:00,-23.4232177734375,-46.44205544211644,609.6,41.86679077148438,12.20487421209162,11277.6
3685,VLG442,,34560d,EC-MVD,A320,,LIRF,2019-06-30 23:10:17+00:00,2019-07-01 00:15:53+00:00,2019-07-01 00:00:00+00:00,39.70682435116525,3.16485595703125,10972.8,41.85306872351696,12.258506597474561,15.24
3705,AAL718,AA718,a2aa4a,N271AY,A333,KPHL,LIRF,2019-06-30 23:10:36+00:00,2019-07-01 07:21:46+00:00,2019-07-01 00:00:00+00:00,39.86100769042969,-75.27360335640287,0.0,41.84490966796875,12.21398787064986,152.4
4114,MSA9794,,4ca907,,,,LIRF,2019-06-30 23:21:32+00:00,2019-07-01 00:07:28+00:00,2019-07-01 00:00:00+00:00,37.72174382613877,15.29637212338655,4267.2,41.85358079813295,12.25831497547238,30.48
4916,QTR2MR,,06a0bd,A7-BCY,B788,OTHH,LIRF,2019-06-30 23:40:45+00:00,2019-07-01 04:52:20+00:00,2019-07-01 00:00:00+00:00,25.26521301269531,51.60110473632812,0.0,41.84515484308792,12.213922544967303,152.4
5094,UAE99,EK99,8960d6,A6-EBO,B77W,OMDB,LIRF,2019-06-30 23:43:46+00:00,2019-07-01 05:34:24+00:00,2019-07-01 00:00:00+00:00,25.256000518798828,55.34993489583334,0.0,41.86042785644531,12.20749594948509,236.22
5286,AZA63C,,4ca87d,EI-EJH,A332,,LIRF,2019-06-30 23:47:13+00:00,2019-07-01 09:18:23+00:00,2019-07-01 00:00:00+00:00,25.96320718021716,-80.37169823279748,2133.6,41.87850952148438,12.24788318980824,152.4
5931,MEA231,,748018,OD-MRS,A320,OTHH,LIRF,2019-06-30 23:58:16+00:00,2019-07-01 08:53:26+00:00,2019-07-01 00:00:00+00:00,25.28321864241261,51.59298878795696,304.8,41.87599182128906,12.24888194691051,144.78
6848,AZA8012,,4ca9e2,EI-RDD,E75S,LIMC,LIRF,2019-07-01 00:14:28+00:00,2019-07-01 00:59:38+00:00,2019-07-01 00:00:00+00:00,45.62673277774099,8.723831176757812,0.0,41.85379028320312,12.25818287242543,22.86
7366,CSN645,,780747,B-6531,A332,YBBN,LIRF,2019-07-01 00:23:37+00:00,2019-07-02 04:17:57+00:00,2019-07-02 00:00:00+00:00,-27.38505217988615,153.1283921461839,-304.8,41.83012390136719,12.22023010253906,76.2
7494,DAL64,DL64,aaf1fa,N804NW,A333,GA95,LIRF,2019-07-01 00:25:53+00:00,2019-07-01 09:47:20+00:00,2019-07-01 00:00:00+00:00,33.60342407226562,-84.54803466796875,914.4,41.87864685058594,12.24782076748935,152.4
9014,ETH702,,040047,ET-AOQ,B788,,LIRF,2019-07-01 00:54:08+00:00,2019-07-01 02:36:52+00:00,2019-07-01 00:00:00+00:00,34.692398071289055,24.413302674585466,11887.2,41.85614117121292,12.25722911746003,30.48
9443,TSC506,,c05cbb,C-GJDA,A332,CYUL,LIRF,2019-07-01 01:02:23+00:00,2019-07-01 08:54:41+00:00,2019-07-01 00:00:00+00:00,45.4483446024232,-73.75363233612802,304.8,41.89124155852754,12.24247422329215,236.22
9459,AAL110,,aae1ea,N800AN,B788,KORD,LIRF,2019-07-01 01:02:45+00:00,2019-07-01 09:50:41+00:00,2019-07-01 00:00:00+00:00,41.97205624337924,-87.98177319903705,609.6,41.87289997682733,12.25020297738009,129.54
9582,QAF1,,06a0a2,A7-HHE,B748,LFPG,LIRF,2019-07-01 01:04:53+00:00,2019-07-01 02:31:38+00:00,2019-07-01 00:00:00+00:00,49.02081298828125,2.51720721905048,0.0,41.85676574707031,12.25687200372869,45.72
10354,ACA890,AC890,c0175a,C-FIVX,B77W,CYYZ,LIRF,2019-07-01 01:18:23+00:00,2019-07-01 09:39:09+00:00,2019-07-01 00:00:00+00:00,43.66448593139648,-79.62290209393166,0.0,41.8809814453125,12.24682201038707,175.26
10476,AZA629,AZ629,4caa6d,EI-EJO,A332,KORD,LIRF,2019-07-01 01:20:37+00:00,2019-07-01 10:22:58+00:00,2019-07-01 00:00:00+00:00,41.94419860839844,-87.96134948730469,609.6,41.85145568847656,12.21136613325639,175.26
10487,CES787,,781684,,,YSSY,LIRF,2019-07-01 01:20:45+00:00,2019-07-02 16:22:48+00:00,2019-07-02 00:00:00+00:00,-33.93104165287343,151.1722183227539,0.0,41.84637451171875,12.21348849209872,198.12
10777,VLG64UZ,,345645,,,LGSR,LIRF,2019-07-01 01:26:03+00:00,2019-07-01 03:07:25+00:00,2019-07-01 00:00:00+00:00,36.4769835391287,25.45479632438498,914.4,41.856467036877646,12.25710136945858,45.72
11119,AZA827,AZ827,300069,I-BIXR,A321,OLBA,LIRF,2019-07-01 01:32:13+00:00,2019-07-01 04:27:34+00:00,2019-07-01 00:00:00+00:00,33.75631713867188,35.433038205516574,609.6,41.85516357421875,12.2576210715554,38.1
11139,AZA821,AZ821,4ca82e,EI-DTN,A320,,LIRF,2019-07-01 01:32:36+00:00,2019-07-01 04:35:24+00:00,2019-07-01 00:00:00+00:00,31.85142517089844,35.422503662109385,4267.2,41.85415649414062,12.25805802778764,83.82000000000002
11978,DAL444,,ab00d6,N808NW,A333,KJFK,LIRF,2019-07-01 01:50:03+00:00,2019-07-01 09:49:24+00:00,2019-07-01 00:00:00+00:00,40.66310119628906,-73.7503662109375,304.8,41.85919189453125,12.20799532803622,205.74
12263,AZA61CM,,4ca1dc,EI-DBK,B772,KJFK,LIRF,2019-07-01 01:55:22+00:00,2019-07-01 09:55:16+00:00,2019-07-01 00:00:00+00:00,40.66374206542969,-73.75177001953125,304.8,41.88157653808594,12.24657232111151,167.64
12288,AZA65F,,4ca938,EI-EJK,A332,CYYZ,LIRF,2019-07-01 01:55:43+00:00,2019-07-01 10:16:45+00:00,2019-07-01 00:00:00+00:00,43.69067175913665,-79.6400887625558,0.0,41.84659796246027,12.21334767896076,144.78
12605,ARG1140,,e06589,LV-FVI,A332,SAEZ,LIRF,2019-07-01 02:02:15+00:00,2019-07-01 14:54:56+00:00,2019-07-01 00:00:00+00:00,-34.818008422851555,-58.55909075055804,0.0,41.84962385791843,12.212134072946947,236.22
12730,AZA66Y,,30061e,I-EJGA,A332,KBOS,LIRF,2019-07-01 02:04:39+00:00,2019-07-01 09:44:08+00:00,2019-07-01 00:00:00+00:00,42.40576171875,-70.98403930664062,609.6,41.87187194824219,12.2026894309304,289.56
13114,AZA595,AZ595,4ca7e1,EI-DTJ,A320,UUEE,LIRF,2019-07-01 02:12:24+00:00,2019-07-01 05:30:59+00:00,2019-07-01 00:00:00+00:00,55.96375028965836,37.35540390014648,609.6,41.866848185911024,12.25269406340843,99.06
13127,TSC308,TS308,c07995,C-GUBC,A332,CYYZ,LIRF,2019-07-01 02:12:37+00:00,2019-07-01 10:38:41+00:00,2019-07-01 00:00:00+00:00,43.71231079101562,-79.6099356717841,609.6,41.85905456542969,12.20824501731179,220.98
13182,AAL720,,a2b1b8,N273AY,A333,KCLT,LIRF,2019-07-01 02:13:45+00:00,2019-07-01 10:59:10+00:00,2019-07-01 00:00:00+00:00,35.270582296080505,-80.96152447639628,609.6,41.84861755371094,12.21255215731534,167.64
13861,AZA593,,4ca7dd,EI-DTI,A320,UKKK,LIRF,2019-07-01 02:27:27+00:00,2019-07-01 04:41:12+00:00,2019-07-01 00:00:00+00:00,50.4010837360964,30.434652792440875,0.0,41.86843096199682,12.25211919740189,106.68
13972,AZA895,AZ895,4ca82f,EI-DTO,A320,,LIRF,2019-07-01 02:29:36+00:00,2019-07-01 04:21:58+00:00,2019-07-01 00:00:00+00:00,34.63062868279926,26.02106094360352,10668.0,41.85639953613281,12.25712169300426,45.72
14065,ACA892,AC892,c023bb,C-FNNU,B77W,CYUL,LIRF,2019-07-01 02:31:56+00:00,2019-07-01 10:10:25+00:00,2019-07-01 00:00:00+00:00,45.42544555664062,-73.77901349748883,609.6,41.92480572199417,12.18045256858648,609.6
14216,AZA809,AZ809,3000c8,I-BIKD,A320,LL59,LIRF,2019-07-01 02:35:09+00:00,2019-07-01 05:42:44+00:00,2019-07-01 00:00:00+00:00,31.99414269398835,34.74078742825255,914.4,41.92676091598252,12.22759158112282,457.2
14238,HAT150P,,4d2198,,,LIMC,LIRF,2019-07-01 02:35:33+00:00,2019-07-01 03:27:58+00:00,2019-07-01 00:00:00+00:00,45.64338684082031,8.73118330792683,0.0,41.869920633607,12.26208354151526,38.1
14499,VLG3321,,3451d4,EC-MKN,A320,,LIRF,2019-07-01 02:40:49+00:00,2019-07-01 04:20:29+00:00,2019-07-01 00:00:00+00:00,37.473573846332094,25.160900613536,3048.0,41.8568115234375,12.25693442604759,45.72
15599,AZA743,AZ743,4ca783,EI-DTB,A320,,LIRF,2019-07-01 03:04:12+00:00,2019-07-01 05:46:23+00:00,2019-07-01 00:00:00+00:00,34.964401245117195,32.83645318478954,5486.4000000000015,41.86843096199682,12.25211919740189,106.68
15725,AZA7JE,,4ca846,EI-IXZ,A321,LGAV,LIRF,2019-07-01 03:06:39+00:00,2019-07-01 04:37:29+00:00,2019-07-01 00:00:00+00:00,37.99726867675781,23.9903421604887,1219.2,41.85674635030455,12.25684587345567,53.34
16425,AZA507,AZ507,3000cc,I-BIKI,A320,,LIRF,2019-07-01 03:21:07+00:00,2019-07-01 04:13:03+00:00,2019-07-01 00:00:00+00:00,41.01296997070312,19.1640625,4572.0,41.85581530554821,12.25729299146076,45.72
16838,ELY385,,738050,4X-EHA,B739,LL59,LIRF,2019-07-01 03:30:14+00:00,2019-07-01 06:39:45+00:00,2019-07-01 00:00:00+00:00,32.014846801757805,34.67867431640625,1524.0,41.84523010253906,12.21386302601207,144.78
17864,AZA803,AZ803,4ca8f4,EI-IMB,A319,,LIRF,2019-07-01 03:53:30+00:00,2019-07-01 04:49:58+00:00,2019-07-01 00:00:00+00:00,38.6208537473517,5.71685791015625,11582.4,41.86839294433594,12.25206548517401,114.3
18231,BMS7SP,,4a05a3,YR-AMC,B735,LROP,LIRF,2019-07-01 04:02:21+00:00,2019-07-01 05:54:24+00:00,2019-07-01 00:00:00+00:00,44.57666015625,26.10214233398438,0.0,41.86802673339844,12.20081676136364,297.18
18298,AZA059,,300064,I-BIXL,A321,LEMD,LIRF,2019-07-01 04:03:19+00:00,2019-07-01 06:04:28+00:00,2019-07-01 00:00:00+00:00,40.47870700642214,-3.5414678400213124,609.6,41.86431884765625,12.25381331010298,83.82000000000002
18648,AZA9QL,,4ca719,EI-DSW,A320,,LIRF,2019-07-01 04:10:46+00:00,2019-07-01 04:53:50+00:00,2019-07-01 00:00:00+00:00,38.32408323126325,12.89030655570652,2743.2,41.86726715605138,12.25256631540698,106.68
18675,AZA1722,,300068,I-BIXQ,A321,,LIRF,2019-07-01 04:11:13+00:00,2019-07-01 05:06:19+00:00,2019-07-01 00:00:00+00:00,37.70741271972656,15.338842513713427,3352.8,41.86715698242188,12.25237759676846,99.06
