,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
13821,FDX6225,,ad0799,N939FD,B752,EBLG,LIMC,2021-07-01 02:36:05+00:00,2021-07-01 03:32:13+00:00,2021-07-01 00:00:00+00:00,50.62980651855469,5.433100650185033,304.8,45.62471008300781,8.724484327362806,228.6
16161,ABR441,,4ca1b3,EI-DAD,B738,EDDK,LIMC,2021-07-01 03:27:25+00:00,2021-07-01 04:31:39+00:00,2021-07-01 00:00:00+00:00,50.8612060546875,7.156982421875,0.0,45.62305515095339,8.735504150390625,205.74
16351,UAE206,,89611c,A6-ECU,B77W,KJFK,LIMC,2021-07-01 03:32:20+00:00,2021-07-01 10:38:55+00:00,2021-07-01 00:00:00+00:00,40.64469909667969,-73.76806640625,0.0,45.62855529785156,8.73399687976372,228.6
17226,CES7187,,780bff,B-5941,A332,,LIMC,2021-07-01 03:54:48+00:00,2021-07-01 10:52:29+00:00,2021-07-01 00:00:00+00:00,53.03288269042969,89.71046447753906,10972.8,45.62457275390625,8.735068716653965,198.12
17466,QTR73YF,,06a2e1,,,OTHH,LIMC,2021-07-01 04:01:56+00:00,2021-07-01 09:39:59+00:00,2021-07-01 00:00:00+00:00,25.28878784179688,51.61204020182292,0.0,45.63079833984375,8.733326981707318,190.5
17663,ETH702,ET702,040127,ET-ATK,B788,LIRF,LIMC,2021-07-01 04:07:07+00:00,2021-07-01 05:01:26+00:00,2021-07-01 00:00:00+00:00,41.8033447265625,12.2466347434304,0.0,45.6265000165519,8.734542846679688,228.6
18038,RYR07G,,4d2245,,,,LIMC,2021-07-01 04:16:11+00:00,2021-07-01 05:24:23+00:00,2021-07-01 00:00:00+00:00,39.27818298339844,12.72515338400136,8534.4,45.62370300292969,8.735269686070884,213.36
18624,WZZ391G,,471dfb,,,,LIMC,2021-07-01 04:30:44+00:00,2021-07-01 05:44:47+00:00,2021-07-01 00:00:00+00:00,39.09397888183594,12.63487442680027,10058.4,45.61895855402542,8.736602783203125,220.98
18813,WZZ174,,471f37,,,,LIMC,2021-07-01 04:35:50+00:00,2021-07-01 06:04:37+00:00,2021-07-01 00:00:00+00:00,41.70716857910156,19.00141629305753,7924.8,45.62553405761719,8.734800757431403,220.98
19949,FIN9T,AY1751,461e1d,OH-LKN,E190,EFHK,LIMC,2021-07-01 05:03:47+00:00,2021-07-01 07:45:42+00:00,2021-07-01 00:00:00+00:00,60.33332954018802,24.94847978864398,0.0,45.615234375,8.737614329268293,236.22
20177,THY51AW,,4bb281,,,LTFM,LIMC,2021-07-01 05:09:16+00:00,2021-07-01 07:33:51+00:00,2021-07-01 00:00:00+00:00,41.39259338378906,28.70615178888494,914.4,45.62631225585938,8.734599788014483,220.98
20273,BCS884P,,344544,EC-MAD,B734,LSGG,LIMC,2021-07-01 05:10:56+00:00,2021-07-01 05:47:50+00:00,2021-07-01 00:00:00+00:00,46.24503960043697,6.119178771972656,304.8,45.62498474121094,8.735001726848324,228.6
20283,VLG140U,,344646,EC-MEL,A320,LEBL,LIMC,2021-07-01 05:11:09+00:00,2021-07-01 06:19:38+00:00,2021-07-01 00:00:00+00:00,41.28703308105469,2.08807373046875,-304.8,45.62482413599047,8.734954833984375,220.98
20285,EJU83CU,,440095,,,,LIMC,2021-07-01 05:11:10+00:00,2021-07-01 06:17:17+00:00,2021-07-01 00:00:00+00:00,40.77598571777344,13.89263916015625,4876.8,45.61891200178761,8.736602783203125,213.36
20657,VLG87UJ,,3444ca,EC-MAI,A320,LEIB,LIMC,2021-07-01 05:19:50+00:00,2021-07-01 06:49:23+00:00,2021-07-01 00:00:00+00:00,38.86385642876059,1.35418701171875,304.8,45.62548828125,8.734800757431403,220.98
21399,AFL2410,SU2410,424440,,,UUEE,LIMC,2021-07-01 05:38:54+00:00,2021-07-01 08:54:56+00:00,2021-07-01 00:00:00+00:00,55.95730590820312,37.33728582208806,609.6,45.62137927039195,8.735984802246094,213.36
21613,AEE6IM,,4691c2,SX-DNB,A320,LGAV,LIMC,2021-07-01 05:44:30+00:00,2021-07-01 07:55:51+00:00,2021-07-01 00:00:00+00:00,37.817138671875,23.86551877285572,1219.2,45.62461853027344,8.735068716653965,220.98
21800,NCA049,,8466c7,JA13KZ,B748,EHAM,LIMC,2021-07-01 05:49:35+00:00,2021-07-01 07:02:14+00:00,2021-07-01 00:00:00+00:00,52.33491024728549,4.709446498325893,-304.8,45.63102722167969,8.733259991901678,220.98
22020,TAP822C,,49529a,CS-TTZ,E195,LPPT,LIMC,2021-07-01 05:55:25+00:00,2021-07-01 07:58:49+00:00,2021-07-01 00:00:00+00:00,38.79560852050781,-9.1285042140795,304.8,45.62547586731991,8.734817504882812,220.98
22164,QTR7JL,,06a0bc,A7-BCX,B788,OTHH,LIMC,2021-07-01 05:59:18+00:00,2021-07-01 11:43:50+00:00,2021-07-01 00:00:00+00:00,25.2615966796875,51.60268147786459,0.0,45.62710519564354,8.734336853027344,228.6
