,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
398,SIA356,SQ356,76cdb4,9V-SMT,A359,,LIMC,2019-06-30 16:30:55+00:00,2019-07-01 04:41:09+00:00,2019-07-01 00:00:00+00:00,1.202909825211864,104.0091310698411,1524.0,45.627128471762454,8.723779678344728,
575,CPA233,CX233,780a89,B-KQU,B77W,VHHH,LIMC,2019-06-30 17:39:47+00:00,2019-07-01 05:19:21+00:00,2019-07-01 00:00:00+00:00,22.301175392280197,113.9133707682292,0.0,45.63454055786133,8.721754492782965,
633,THA940,,885106,HS-THF,A359,VTBS,LIMC,2019-06-30 18:05:33+00:00,2019-07-01 05:22:59+00:00,2019-07-01 00:00:00+00:00,13.63575563592426,100.7463635896382,304.8,45.63323845297602,8.720003128051758,
1120,QTR8211,,06a080,A7-BFB,B77L,OTHH,LIMC,2019-06-30 20:22:29+00:00,2019-07-01 02:01:53+00:00,2019-07-01 00:00:00+00:00,25.286430746822035,51.613199485922756,0.0,45.62457973674192,8.72450065612793,
1422,AAL198,AA198,aa4903,N762AN,B772,KJFK,LIMC,2019-06-30 20:59:21+00:00,2019-07-01 04:10:23+00:00,2019-07-01 00:00:00+00:00,40.66337973384535,-73.752968528054,304.8,45.62942504882812,8.715792400080984,182.88
1623,CCA949,,781642,,,,LIMC,2019-06-30 21:21:09+00:00,2019-07-01 03:42:19+00:00,2019-07-01 00:00:00+00:00,56.60174560546875,87.58240699768066,10972.8,45.63166809082031,8.722524875547828,182.88
1819,ERN548,,4ca909,,,,LIMC,2019-06-30 21:36:50+00:00,2019-07-01 00:10:19+00:00,2019-07-01 00:00:00+00:00,50.21566772460938,33.1303566380551,10972.8,45.62333679199219,8.724886266196648,160.02
2164,TAP828,,4951c9,CS-TNI,A320,LPAR,LIMC,2019-06-30 22:02:06+00:00,2019-07-01 00:12:08+00:00,2019-07-01 00:00:00+00:00,38.8421630859375,-9.0880126953125,609.6,45.61788785255561,8.726371765136719,160.02
2786,DAL174,DL174,ab80f4,N840MH,B764,GA95,LIMC,2019-06-30 22:34:46+00:00,2019-07-01 07:14:58+00:00,2019-07-01 00:00:00+00:00,33.60763549804688,-84.53615149673152,914.4,45.63378544177039,8.721942901611326,175.26
2836,CCA967,,781347,,,,LIMC,2019-06-30 22:36:58+00:00,2019-07-01 05:08:57+00:00,2019-07-01 00:00:00+00:00,55.331245034427965,87.35129616477272,10972.8,45.61708482645326,8.719522476196289,175.26
2995,QTR123,QR123,06a0fe,A7-ALJ,A359,OTHH,LIMC,2019-06-30 22:43:16+00:00,2019-07-01 04:12:57+00:00,2019-07-01 00:00:00+00:00,25.27720642089844,51.59581502278647,0.0,45.62663269042969,8.723948408917684,167.64
3014,ETD26N,,89629c,A6-AFB,A333,,LIMC,2019-06-30 22:44:11+00:00,2019-07-01 04:45:59+00:00,2019-07-01 00:00:00+00:00,24.83555603027344,54.24326578776042,4267.2,45.6331901550293,8.719594071551068,182.88
3064,OMA141,,70c0a4,A4O-DA,A332,,LIMC,2019-06-30 22:46:13+00:00,2019-07-01 04:52:28+00:00,2019-07-01 00:00:00+00:00,24.57646256786282,54.91028983637972,11277.6,45.61885070800781,8.726025092892531,152.4
3943,ICV8379,,4d0109,LX-TCV,B744,VHHH,LIMC,2019-06-30 23:17:29+00:00,2019-07-01 12:30:24+00:00,2019-07-01 00:00:00+00:00,22.31002031746557,113.94114176432294,0.0,45.639015197753906,8.719175385265816,198.12
4240,UAL19,UA19,a8b760,N66057,B764,KEWR,LIMC,2019-06-30 23:24:49+00:00,2019-07-01 06:58:25+00:00,2019-07-01 00:00:00+00:00,40.71469116210938,-74.14959716796875,304.8,45.63457682981329,8.721719741821289,
5211,BPA717,,4d21d0,,,,LIMC,2019-06-30 23:45:54+00:00,2019-07-01 02:06:39+00:00,2019-07-01 00:00:00+00:00,34.031204223632805,25.14921850087691,10972.8,45.62063443458686,8.725547790527344,175.26
5511,DAL172,,aaee43,N803NW,A333,KJFK,LIMC,2019-06-30 23:51:03+00:00,2019-07-01 07:10:35+00:00,2019-07-01 00:00:00+00:00,40.6614990234375,-73.7525634765625,304.8,45.6295166015625,8.72314453125,167.64
6192,AAL206,,aa3417,N757AN,B772,,LIMC,2019-07-01 00:02:42+00:00,2019-07-01 07:28:24+00:00,2019-07-01 00:00:00+00:00,32.29037475585938,-68.40329589843748,10668.0,45.62958526611328,8.716880984422637,
6658,QTR8112,,06a1e7,,,KORD,LIMC,2019-07-01 00:11:17+00:00,2019-07-01 08:27:59+00:00,2019-07-01 00:00:00+00:00,41.96996139267743,-87.96542145485095,609.6,45.63129489704714,8.722629547119142,175.26
6908,NOS285,,4ca8fa,,,,LIMC,2019-07-01 00:15:33+00:00,2019-07-01 02:24:39+00:00,2019-07-01 00:00:00+00:00,34.54948813228284,24.58992004394531,11887.2,45.626500016551894,8.723968505859375,167.64
7510,ISS970,,4cafba,,,,LIMC,2019-07-01 00:26:09+00:00,2019-07-01 09:36:51+00:00,2019-07-01 00:00:00+00:00,25.9787556276483,-80.36071190467248,3048.0,45.63311004638672,8.719024658203125,
7514,OMA143,,70c0c6,A4O-DJ,A333,RPLS,LIMC,2019-07-01 00:26:12+00:00,2019-07-01 17:39:26+00:00,2019-07-01 00:00:00+00:00,14.43827819824219,120.8874459102236,1219.2,45.63931274414062,8.723462732826793,
9268,AZA605,AZ605,30061f,I-EJGB,A332,KJFK,LIMC,2019-07-01 00:59:05+00:00,2019-07-01 08:21:28+00:00,2019-07-01 00:00:00+00:00,40.66905910685911,-73.74092102050781,304.8,45.63325009103549,8.719951629638674,182.88
9622,ISS90V,,4cafa3,,,KJFK,LIMC,2019-07-01 01:05:23+00:00,2019-07-01 08:39:15+00:00,2019-07-01 00:00:00+00:00,40.654069286281775,-73.75927318226206,304.8,45.61372375488281,8.727498868616618,167.64
10494,AIC137,,8005f4,VT-ANK,B788,,LIMC,2019-07-01 01:20:51+00:00,2019-07-01 17:54:59+00:00,2019-07-01 00:00:00+00:00,2.277374267578125,103.1092963784428,8229.6,45.63954162597656,8.725120730516387,
10973,NOS945,,4ca4cb,EI-FLM,B738,LGIR,LIMC,2019-07-01 01:29:19+00:00,2019-07-01 03:47:58+00:00,2019-07-01 00:00:00+00:00,35.38742065429688,25.12796401977539,1219.2,45.6131395242982,8.727676391601562,190.5
11084,ISS92Y,,4cafbd,,,CYYZ,LIMC,2019-07-01 01:31:42+00:00,2019-07-01 09:24:58+00:00,2019-07-01 00:00:00+00:00,43.66476058959961,-79.62255078692765,0.0,45.61770629882812,8.726427031726372,167.64
14242,MSR703,MS703,010146,SU-GDZ,B738,,LIMC,2019-07-01 02:35:34+00:00,2019-07-01 11:48:22+00:00,2019-07-01 00:00:00+00:00,24.540570792505303,54.96967819501769,10972.8,45.6246379270392,8.724449157714844,175.26
14445,UAE5RQ,,8963f3,,,KJFK,LIMC,2019-07-01 02:39:53+00:00,2019-07-01 09:47:53+00:00,2019-07-01 00:00:00+00:00,40.66337585449219,-73.752197265625,304.8,45.63129489704714,8.722663879394531,167.64
14684,TAM8062,,e48fca,PT-MOB,B763,SBGR,LIMC,2019-07-01 02:44:50+00:00,2019-07-01 13:55:55+00:00,2019-07-01 00:00:00+00:00,-23.428251622086854,-46.448567708333314,609.6,45.6389178259898,8.727607727050781,
16837,NOS8986,,300390,I-NEOW,B738,,LIMC,2019-07-01 03:30:13+00:00,2019-07-01 03:51:11+00:00,2019-07-01 00:00:00+00:00,45.33838821669756,10.609711437690553,2743.2,45.617748195842154,8.726371765136719,167.64
16914,ACA894,AC894,c058bb,C-GHPQ,B788,CYYZ,LIMC,2019-07-01 03:31:51+00:00,2019-07-01 11:30:27+00:00,2019-07-01 00:00:00+00:00,43.690578654661024,-79.64015415736607,0.0,45.63205137091168,8.722475051879883,182.88
17449,KAL927,,71bf21,HL7721,B772,RKSI,LIMC,2019-07-01 03:44:25+00:00,2019-07-01 15:17:57+00:00,2019-07-01 00:00:00+00:00,37.480929099907314,126.4083928647249,304.8,45.639610290527344,8.726008345441121,
17530,ETH702,,040047,ET-AOQ,B788,LIRF,LIMC,2019-07-01 03:46:13+00:00,2019-07-01 04:37:39+00:00,2019-07-01 00:00:00+00:00,41.80133056640625,12.23945617675781,0.0,45.625150001655186,8.724380493164062,175.26
