,origin,destination,total,year,month
LYBT,1.0,9.0,10.0,2020,7
LILG,6.0,4.0,10.0,2020,7
EDMO,4.0,6.0,10.0,2020,7
LATI,3.0,6.0,9.0,2020,7
LOWS,4.0,5.0,9.0,2020,7
LIRQ,1.0,8.0,9.0,2020,7
LIMB,5.0,4.0,9.0,2020,7
GCFV,4.0,5.0,9.0,2020,7
LFKF,5.0,3.0,8.0,2020,7
LILV,4.0,4.0,8.0,2020,7
LIPR,6.0,1.0,7.0,2020,7
LOWG,4.0,3.0,7.0,2020,7
EGBB,4.0,3.0,7.0,2020,7
LFLL,3.0,4.0,7.0,2020,7
UUWW,3.0,4.0,7.0,2020,7
LSZR,3.0,4.0,7.0,2020,7
LDSP,2.0,4.0,6.0,2020,7
LIRU,5.0,1.0,6.0,2020,7
LIPQ,3.0,3.0,6.0,2020,7
LILR,4.0,2.0,6.0,2020,7
LILN,3.0,2.0,5.0,2020,7
LZIB,1.0,4.0,5.0,2020,7
KLAX,4.0,1.0,5.0,2020,7
LFMD,1.0,4.0,5.0,2020,7
LIMP,3.0,2.0,5.0,2020,7
LILB,2.0,3.0,5.0,2020,7
LESL,2.0,3.0,5.0,2020,7
LDZD,3.0,2.0,5.0,2020,7
EGTK,2.0,2.0,4.0,2020,7
LEVC,1.0,3.0,4.0,2020,7
LCLK,3.0,1.0,4.0,2020,7
LIPC,1.0,3.0,4.0,2020,7
LIPV,1.0,3.0,4.0,2020,7
LIRE,2.0,2.0,4.0,2020,7
LIPN,3.0,1.0,4.0,2020,7
LFBD,2.0,2.0,4.0,2020,7
LIDH,1.0,3.0,4.0,2020,7
EDAY,1.0,3.0,4.0,2020,7
EHBK,1.0,3.0,4.0,2020,7
LIDE,2.0,2.0,4.0,2020,7
EDRZ,3.0,1.0,4.0,2020,7
LEJR,1.0,3.0,4.0,2020,7
LIDA,3.0,1.0,4.0,2020,7
LSZL,1.0,2.0,3.0,2020,7
EPWR,1.0,2.0,3.0,2020,7
EDNY,1.0,2.0,3.0,2020,7
LIPU,1.0,2.0,3.0,2020,7
UUDD,1.0,2.0,3.0,2020,7
LIDU,1.0,2.0,3.0,2020,7
SAEZ,1.0,2.0,3.0,2020,7
LBSF,1.0,2.0,3.0,2020,7
LD57,1.0,2.0,3.0,2020,7
LGRP,1.0,2.0,3.0,2020,7
LKMT,1.0,2.0,3.0,2020,7
LIDR,2.0,1.0,3.0,2020,7
LCPH,1.0,2.0,3.0,2020,7
LDPL,2.0,1.0,3.0,2020,7
LFDT,2.0,1.0,3.0,2020,7
LIRZ,2.0,1.0,3.0,2020,7
LGKO,1.0,2.0,3.0,2020,7
EDJA,2.0,1.0,3.0,2020,7
LKTB,2.0,1.0,3.0,2020,7
OLBA,2.0,1.0,3.0,2020,7
LIPD,1.0,1.0,2.0,2020,7
LJPZ,1.0,1.0,2.0,2020,7
LFOV,1.0,1.0,2.0,2020,7
LFKJ,1.0,1.0,2.0,2020,7
EDAZ,1.0,1.0,2.0,2020,7
EKAH,1.0,1.0,2.0,2020,7
EDDN,1.0,1.0,2.0,2020,7
LFPN,1.0,1.0,2.0,2020,7
EDQA,1.0,1.0,2.0,2020,7
EGGP,1.0,1.0,2.0,2020,7
EDFU,1.0,1.0,2.0,2020,7
EBAW,1.0,1.0,2.0,2020,7
ETHN,1.0,1.0,2.0,2020,7
EGNV,1.0,1.0,2.0,2020,7
LIPK,1.0,1.0,2.0,2020,7
EKYT,1.0,1.0,2.0,2020,7
LFMV,1.0,1.0,2.0,2020,7
LFLI,1.0,1.0,2.0,2020,7
EHRD,1.0,1.0,2.0,2020,7
LFAT,1.0,1.0,2.0,2020,7
EGSH,1.0,1.0,2.0,2020,7
LFRS,1.0,1.0,2.0,2020,7
ORMM,1.0,1.0,2.0,2020,7
EDFH,1.0,1.0,2.0,2020,7
LSZM,1.0,1.0,2.0,2020,7
