,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
2564,MAC455,,020145,,,GMMN,LIME,2021-06-30 22:56:12+00:00,2021-07-01 01:18:46+00:00,2021-07-01 00:00:00+00:00,33.35733032226562,-7.588641357421864,0.0,45.66197282176907,9.738418579101562,320.04
7732,SRR6402,,45ce49,OY-SRI,B762,EDDK,LIME,2021-07-01 00:38:26+00:00,2021-07-01 01:44:28+00:00,2021-07-01 00:00:00+00:00,50.87514844991393,7.130680084228516,0.0,45.6615538516287,9.740684509277344,327.66
13261,SRR6498,,45ce4b,OY-SRK,B762,EDDK,LIME,2021-07-01 02:24:19+00:00,2021-07-01 03:27:21+00:00,2021-07-01 00:00:00+00:00,50.865234375,7.151208826013513,0.0,45.66062280687235,9.745765686035156,350.52
14938,VAS7930,,42428e,VP-BCJ,B734,EDDP,LIME,2021-07-01 03:01:24+00:00,2021-07-01 04:12:20+00:00,2021-07-01 00:00:00+00:00,51.41350180415784,12.24571228027344,0.0,45.67684936523438,9.658456197599088,434.34
17164,RYR6CP,,4ca9c1,EI-EVA,B738,LCPH,LIME,2021-07-01 03:53:17+00:00,2021-07-01 07:09:36+00:00,2021-07-01 00:00:00+00:00,34.71637790485964,32.49069213867188,0.0,45.65872192382812,9.756127334222562,381.0
17602,DIDAH,,3e1f3b,D-IDAH,BE20,EDTD,LIME,2021-07-01 04:05:18+00:00,2021-07-01 04:50:12+00:00,2021-07-01 00:00:00+00:00,47.94200832560911,8.52348914513221,914.4,45.65992452330508,9.749130249023438,373.38
18446,RYR4659,FR4659,4d2273,,,LIBD,LIME,2021-07-01 04:26:12+00:00,2021-07-01 05:38:58+00:00,2021-07-01 00:00:00+00:00,41.13455200195312,16.74664306640625,0.0,45.65959167480469,9.751438047827744,365.76
18594,WZZ37TJ,,471ea4,HA-LPS,A320,LROP,LIME,2021-07-01 04:30:03+00:00,2021-07-01 06:28:28+00:00,2021-07-01 00:00:00+00:00,44.56706418829449,26.10954470750762,0.0,45.65492248535156,9.776492235137196,472.44
18798,RYR2TW,,4ca4ee,EI-DPJ,B738,LEBL,LIME,2021-07-01 04:35:25+00:00,2021-07-01 05:45:13+00:00,2021-07-01 00:00:00+00:00,41.28708661612818,2.088338678533381,-304.8,45.65890502929688,9.754921517721035,381.0
19139,RYR4707,,4d2221,,,LIEE,LIME,2021-07-01 04:44:23+00:00,2021-07-01 05:49:48+00:00,2021-07-01 00:00:00+00:00,39.25568661447299,9.04931640625,0.0,45.65969176211599,9.750778198242188,8869.68
19602,RYR3PG,,4d2243,,,EDDB,LIME,2021-07-01 04:55:58+00:00,2021-07-01 06:15:14+00:00,2021-07-01 00:00:00+00:00,52.37535095214844,13.51722717285156,0.0,45.65950012207031,9.751839986661588,365.76
20496,JKH324,,3ce39a,,,EDDH,LIME,2021-07-01 05:15:57+00:00,2021-07-01 06:43:42+00:00,2021-07-01 00:00:00+00:00,53.63716254800052,9.990288229549632,0.0,45.65945434570312,9.752040956078506,365.76
20545,RYR8V,,4d224e,,,,LIME,2021-07-01 05:17:03+00:00,2021-07-01 06:24:29+00:00,2021-07-01 00:00:00+00:00,39.44215393066406,13.07193921959919,10363.2,45.65922546386719,9.753045803163111,365.76
21184,RYR54FP,,4cacdf,,,EIDW,LIME,2021-07-01 05:33:29+00:00,2021-07-01 07:35:29+00:00,2021-07-01 00:00:00+00:00,53.422119140625,-6.28472900390625,0.0,45.65652465820312,9.767582590987043,426.72
22320,RYR517C,,4ca702,EI-EBE,B738,LPFR,LIME,2021-07-01 06:03:33+00:00,2021-07-01 08:27:28+00:00,2021-07-01 00:00:00+00:00,37.01498775158898,-7.97004367994225,-304.8,45.65679931640625,9.7661758050686,426.72
23563,RYR8LP,,4d2214,9H-QEF,B738,EDDK,LIME,2021-07-01 06:35:24+00:00,2021-07-01 07:39:10+00:00,2021-07-01 00:00:00+00:00,50.87195962162341,7.14141845703125,0.0,45.65931701660156,9.752710854134907,358.14
23962,RYR9YR,,4ca80d,EI-EKM,B738,LGAV,LIME,2021-07-01 06:46:12+00:00,2021-07-01 08:59:41+00:00,2021-07-01 00:00:00+00:00,37.83462524414062,23.86861598238032,1219.2,45.65963745117188,9.751304068216465,365.76
24024,EJU84ZP,,4403f0,,,LIEO,LIME,2021-07-01 06:47:55+00:00,2021-07-01 07:45:04+00:00,2021-07-01 00:00:00+00:00,40.86680603027344,9.456787109375,914.4,45.65992452330508,9.749610900878906,358.14
24478,RYR1FJ,,4d2240,,,,LIME,2021-07-01 07:01:20+00:00,2021-07-01 08:23:41+00:00,2021-07-01 00:00:00+00:00,40.77232360839844,17.78790283203125,1524.0,45.65968322753906,9.750835139576983,358.14
24618,RYR76HY,,4d225f,,,LFOB,LIME,2021-07-01 07:05:25+00:00,2021-07-01 08:12:27+00:00,2021-07-01 00:00:00+00:00,49.43940760725636,2.208400417018581,914.4,45.65852795617055,9.757095336914062,388.62
24674,RYR46KL,,4d2251,,,,LIME,2021-07-01 07:06:53+00:00,2021-07-01 08:07:05+00:00,2021-07-01 00:00:00+00:00,40.97268676757812,14.05694580078125,4876.8,45.65941244868909,9.751808166503906,365.76
25217,RYR8WK,,4d21f7,,,,LIME,2021-07-01 07:20:46+00:00,2021-07-01 08:40:54+00:00,2021-07-01 00:00:00+00:00,38.93472290039062,16.0132300335428,1828.8,45.65716552734375,9.764300090510671,411.48
25234,VOE1RP,,345699,EC-MUX,A319,LIEO,LIME,2021-07-01 07:21:12+00:00,2021-07-01 08:16:59+00:00,2021-07-01 00:00:00+00:00,40.86968994140625,9.4610595703125,914.4,45.65810898603019,9.7591552734375,388.62
25373,RYR92,,4d2238,,,,LIME,2021-07-01 07:24:49+00:00,2021-07-01 09:45:29+00:00,2021-07-01 00:00:00+00:00,36.82905578613281,25.41378021240234,5181.6,45.65711975097656,9.764568049733231,419.1
25747,RYR94KV,,4d2246,,,EGSS,LIME,2021-07-01 07:35:05+00:00,2021-07-01 09:12:59+00:00,2021-07-01 00:00:00+00:00,51.89543151855469,0.25054931640625,0.0,45.65964520987818,9.750846862792969,358.14
26296,RYR14NK,FR4723,4d221e,,,EKBI,LIME,2021-07-01 07:49:30+00:00,2021-07-01 09:32:25+00:00,2021-07-01 00:00:00+00:00,55.7406005859375,9.171253551136363,0.0,45.65955210540254,9.751739501953123,358.14
26367,RYR3TL,,4d2210,,,EVRA,LIME,2021-07-01 07:51:31+00:00,2021-07-01 10:05:59+00:00,2021-07-01 00:00:00+00:00,56.9044189453125,23.96796226501465,0.0,45.65872192382812,9.75572539538872,373.38
26446,DCHDC,,3cd2cc,D-CHDC,C680,EDFM,LIME,2021-07-01 07:53:16+00:00,2021-07-01 08:54:28+00:00,2021-07-01 00:00:00+00:00,49.47259935282045,8.490798537795609,304.8,45.65972900390625,9.750768149771345,373.38
26630,RYR97WC,,4d2213,9H-QCY,B738,,LIME,2021-07-01 07:58:08+00:00,2021-07-01 09:26:39+00:00,2021-07-01 00:00:00+00:00,39.66315835209216,18.5113525390625,12192.0,45.65950012207031,9.751772996855946,365.76
26646,RYR20SQ,,4d2255,,,,LIME,2021-07-01 07:58:31+00:00,2021-07-01 09:29:25+00:00,2021-07-01 00:00:00+00:00,37.573974609375,15.32621992395279,3048.0,45.65670776367188,9.766845703125,434.34
26795,DEZWA,,3d48e8,D-EZWA,C172,LIME,LIME,2021-07-01 08:01:56+00:00,2021-07-01 10:11:13+00:00,2021-07-01 00:00:00+00:00,45.66091918945312,9.730068299828506,304.8,45.65936589645127,9.744255065917969,396.24
26826,RYR6PP,,48c22c,,,LKPR,LIME,2021-07-01 08:02:53+00:00,2021-07-01 09:03:24+00:00,2021-07-01 00:00:00+00:00,50.11390298099841,14.26648938978041,304.8,45.65922546386719,9.753313762385671,373.38
27428,RYR70GK,,4d223b,,,LEAL,LIME,2021-07-01 08:17:03+00:00,2021-07-01 09:50:17+00:00,2021-07-01 00:00:00+00:00,38.28085327148438,-0.5493748441655271,0.0,45.65950555316472,9.751808166503906,365.76
27913,RYR7RA,,4d226f,,,LEMG,LIME,2021-07-01 08:29:15+00:00,2021-07-01 10:31:58+00:00,2021-07-01 00:00:00+00:00,36.68102199748411,-4.507667054521277,-304.8,45.65927279197563,9.752906799316406,373.38
