,origin,destination,total,year,month
EBKT,1.0,1.0,2.0,2019,7
LILI,1.0,1.0,2.0,2019,7
LL59,55.0,,,2019,7
GA95,23.0,,,2019,7
RPLS,10.0,,,2019,7
RPLL,9.0,,,2019,7
EGPJ,6.0,,,2019,7
WMKK,6.0,,,2019,7
89GE,5.0,,,2019,7
EDSB,5.0,,,2019,7
VOMM,5.0,,,2019,7
LIPH,4.0,,,2019,7
LBSF,4.0,,,2019,7
LDSP,3.0,,,2019,7
EHBK,3.0,,,2019,7
FACT,3.0,,,2019,7
EDCU,3.0,,,2019,7
LSZA,3.0,,,2019,7
YMML,3.0,,,2019,7
GBYD,3.0,,,2019,7
OMSJ,2.0,,,2019,7
EDNY,2.0,,,2019,7
LKSN,2.0,,,2019,7
OETH,2.0,,,2019,7
EDTM,2.0,,,2019,7
51GA,2.0,,,2019,7
KTEB,2.0,,,2019,7
KIAH,2.0,,,2019,7
LSZR,2.0,,,2019,7
LBWV,2.0,,,2019,7
GMMT,2.0,,,2019,7
YBBN,2.0,,,2019,7
GVAC,2.0,,,2019,7
LIMB,2.0,,,2019,7
YSSY,2.0,,,2019,7
CMN3,2.0,,,2019,7
VNKT,2.0,,,2019,7
EGNR,1.0,,,2019,7
VAJJ,1.0,,,2019,7
LEPA,1.0,,,2019,7
LFHC,1.0,,,2019,7
LIAA,1.0,,,2019,7
EPMR,1.0,,,2019,7
OMAD,1.0,,,2019,7
LEGE,1.0,,,2019,7
EFSA,1.0,,,2019,7
EDFE,1.0,,,2019,7
RI07,1.0,,,2019,7
LEVC,1.0,,,2019,7
KSJC,1.0,,,2019,7
GA94,1.0,,,2019,7
LIRV,1.0,,,2019,7
EDLV,1.0,,,2019,7
LFBF,1.0,,,2019,7
VMMC,1.0,,,2019,7
EDDR,1.0,,,2019,7
EDDE,1.0,,,2019,7
RJTT,1.0,,,2019,7
EDLW,1.0,,,2019,7
KMDW,1.0,,,2019,7
EDLP,1.0,,,2019,7
LIPB,1.0,,,2019,7
EDLE,1.0,,,2019,7
LFRM,1.0,,,2019,7
LFQA,1.0,,,2019,7
GQNO,1.0,,,2019,7
LSMD,1.0,,,2019,7
ETHN,1.0,,,2019,7
LFPZ,1.0,,,2019,7
EBMO,1.0,,,2019,7
URWA,1.0,,,2019,7
LILE,1.0,,,2019,7
LSTR,1.0,,,2019,7
LFOV,1.0,,,2019,7
KBEH,1.0,,,2019,7
YKBN,1.0,,,2019,7
LFLB,1.0,,,2019,7
LFRC,1.0,,,2019,7
LTBW,,384.0,,2019,7
LICP,,149.0,,2019,7
EDCT,,129.0,,2019,7
LIMA,,126.0,,2019,7
LIMN,,113.0,,2019,7
EGKR,,101.0,,2019,7
LICR,,77.0,,2019,7
CYHU,,60.0,,2019,7
ULLP,,59.0,,2019,7
LFPL,,51.0,,2019,7
LFPC,,48.0,,2019,7
LYBT,,38.0,,2019,7
EDDV,,32.0,,2019,7
LLHZ,,29.0,,2019,7
LFMY,,27.0,,2019,7
LFFI,,21.0,,2019,7
LIDC,,19.0,,2019,7
LKHV,,17.0,,2019,7
EGAC,,17.0,,2019,7
LGNX,,16.0,,2019,7
LFRI,,16.0,,2019,7
KHHR,,15.0,,2019,7
EPKM,,14.0,,2019,7
LKLT,,14.0,,2019,7
LEMU,,13.0,,2019,7
RJBB,,11.0,,2019,7
25GA,,10.0,,2019,7
4GE2,,10.0,,2019,7
LIBG,,10.0,,2019,7
OJAM,,8.0,,2019,7
LIQG,,8.0,,2019,7
EDOW,,7.0,,2019,7
LFDQ,,7.0,,2019,7
OMDW,,7.0,,2019,7
LGZA,,6.0,,2019,7
LIRQ,,6.0,,2019,7
LFDH,,6.0,,2019,7
LGSO,,5.0,,2019,7
EDTB,,5.0,,2019,7
CLA2,,5.0,,2019,7
LIPU,,5.0,,2019,7
LGPA,,5.0,,2019,7
CSB3,,4.0,,2019,7
LYSM,,4.0,,2019,7
RJAK,,4.0,,2019,7
RJAH,,3.0,,2019,7
EKVD,,3.0,,2019,7
LLTN,,3.0,,2019,7
LIQL,,3.0,,2019,7
EPLE,,3.0,,2019,7
EDMO,,3.0,,2019,7
LICB,,3.0,,2019,7
LFMD,,2.0,,2019,7
CYZD,,2.0,,2019,7
EDFM,,2.0,,2019,7
LIDP,,2.0,,2019,7
LIVV,,2.0,,2019,7
EIBA,,2.0,,2019,7
EDOP,,2.0,,2019,7
EGTK,,2.0,,2019,7
NJ72,,2.0,,2019,7
NC29,,2.0,,2019,7
LIDG,,2.0,,2019,7
SBRJ,,2.0,,2019,7
LTBU,,2.0,,2019,7
LSZB,,2.0,,2019,7
LIQS,,2.0,,2019,7
LKRY,,2.0,,2019,7
EDPI,,2.0,,2019,7
LOIH,,2.0,,2019,7
EPZR,,2.0,,2019,7
EDBP,,2.0,,2019,7
LSZV,,2.0,,2019,7
KSWF,,1.0,,2019,7
RPLC,,1.0,,2019,7
EDTL,,1.0,,2019,7
LIRH,,1.0,,2019,7
FATA,,1.0,,2019,7
EGFF,,1.0,,2019,7
LTAE,,1.0,,2019,7
OMDM,,1.0,,2019,7
LFDT,,1.0,,2019,7
LIAP,,1.0,,2019,7
LFHJ,,1.0,,2019,7
LIPF,,1.0,,2019,7
SBMT,,1.0,,2019,7
EGTB,,1.0,,2019,7
LFFG,,1.0,,2019,7
LGRD,,1.0,,2019,7
LFCX,,1.0,,2019,7
EDVE,,1.0,,2019,7
ENSO,,1.0,,2019,7
LIDR,,1.0,,2019,7
HEGR,,1.0,,2019,7
EYRD,,1.0,,2019,7
KBKL,,1.0,,2019,7
CYMX,,1.0,,2019,7
KHPN,,1.0,,2019,7
EDCR,,1.0,,2019,7
EPKW,,1.0,,2019,7
LIAT,,1.0,,2019,7
USSS,,1.0,,2019,7
LOWG,,1.0,,2019,7
44NC,,1.0,,2019,7
EDGI,,1.0,,2019,7
NY09,,1.0,,2019,7
GVBA,,1.0,,2019,7
FABA,,1.0,,2019,7
EDLR,,1.0,,2019,7
EDWM,,1.0,,2019,7
UKKT,,1.0,,2019,7
LGML,,1.0,,2019,7
Z19O,,1.0,,2019,7
EGCN,,1.0,,2019,7
GA02,,1.0,,2019,7
EGHR,,1.0,,2019,7
UUMO,,1.0,,2019,7
EHTW,,1.0,,2019,7
UUML,,1.0,,2019,7
EDOT,,1.0,,2019,7
SDMC,,1.0,,2019,7
LICZ,,1.0,,2019,7
LFQJ,,1.0,,2019,7
EFMA,,1.0,,2019,7
KLCK,,1.0,,2019,7
EGPK,,1.0,,2019,7
EKRK,,1.0,,2019,7
LDPM,,1.0,,2019,7
EDKB,,1.0,,2019,7
LFOX,,1.0,,2019,7
EDOE,,1.0,,2019,7
LDRG,,1.0,,2019,7
MI84,,1.0,,2019,7
LPEV,,1.0,,2019,7
CSS3,,1.0,,2019,7
EDMP,,1.0,,2019,7
KCAE,,1.0,,2019,7
EKAH,,1.0,,2019,7
UUWE,,1.0,,2019,7
LIAQ,,1.0,,2019,7
OBKH,,1.0,,2019,7
VA16,,1.0,,2019,7
EDMA,,1.0,,2019,7
UKKM,,1.0,,2019,7
EGHI,,1.0,,2019,7
KRUQ,,1.0,,2019,7
KRDU,,1.0,,2019,7
LDPV,,1.0,,2019,7
LR80,,1.0,,2019,7
LIDH,,1.0,,2019,7
WSSS,,1.0,,2019,7
