,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
2947,LAV2715,,345617,,,LEMG,LIME,2019-06-30 22:41:17+00:00,2019-07-01 00:42:29+00:00,2019-07-01 00:00:00+00:00,36.651787192134535,-4.471903050199443,304.8,45.65579223632812,9.7716689691311,381.0
5754,SRR6498,,45ce55,OY-SRU,B763,EDDK,LIME,2019-06-30 23:55:03+00:00,2019-07-01 00:57:44+00:00,2019-07-01 00:00:00+00:00,50.87130789029396,7.142333984375,0.0,45.65689862784693,9.765403747558594,365.76
7770,RYR5SU,,4ca5ed,EI-FOH,B738,LEBL,LIME,2019-07-01 00:31:10+00:00,2019-07-01 01:39:56+00:00,2019-07-01 00:00:00+00:00,41.28434003409693,2.238089821555397,1219.2,45.655408956236755,9.77350616455078,388.62
7816,LAV1746,,346107,,,,LIME,2019-07-01 00:32:05+00:00,2019-07-01 02:46:45+00:00,2019-07-01 00:00:00+00:00,34.72592111361229,24.38472747802734,10972.8,45.65611267089844,9.769726264767533,381.0
17079,BMS5YD,,4a09b0,,,,LIME,2019-07-01 03:36:11+00:00,2019-07-01 05:22:40+00:00,2019-07-01 00:00:00+00:00,46.52224731445312,26.21558956983613,4876.8,45.65528869628906,9.773745653105946,388.62
17265,RYR3PR,FR6323,4ca8ab,,,,LIME,2019-07-01 03:40:17+00:00,2019-07-01 05:12:05+00:00,2019-07-01 00:00:00+00:00,42.8199462890625,23.24521796647893,3657.6,45.65570068359375,9.77173595893674,396.24
17439,WZZ2RK,,471f7c,HA-LYA,A320,,LIME,2019-07-01 03:44:05+00:00,2019-07-01 04:56:50+00:00,2019-07-01 00:00:00+00:00,46.236986063294495,20.36446380615234,7010.400000000002,45.67915059752383,9.644279479980467,419.1
19213,WZZ18BC,,471f7b,HA-LXZ,A321,LROP,LIME,2019-07-01 04:21:32+00:00,2019-07-01 06:17:46+00:00,2019-07-01 00:00:00+00:00,44.57708455748477,26.1129946824981,0.0,45.65744018554688,9.762558355564023,350.52
19724,WZZ9PU,,471f6c,HA-LXK,A321,EPWA,LIME,2019-07-01 04:31:14+00:00,2019-07-01 06:12:54+00:00,2019-07-01 00:00:00+00:00,52.17237854003906,20.9613037109375,0.0,45.65699173232256,9.765335083007812,358.14
20028,RYR12NN,FR4707,4cabbc,EI-FRM,B738,LIEE,LIME,2019-07-01 04:36:57+00:00,2019-07-01 05:44:44+00:00,2019-07-01 00:00:00+00:00,39.25922458454714,9.04541015625,0.0,45.65629577636719,9.769257336128046,381.0
