,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
984,CCA597,,781641,B-307A,A359,,LIMC,2020-06-30 22:28:53+00:00,2020-07-01 05:17:19+00:00,2020-07-01 00:00:00+00:00,55.04324340820312,88.13393985523895,11582.4,45.63315582275391,8.719342859779918,
2882,SVR3979,,43be8d,VP-BOP,A21N,,LIMC,2020-07-01 00:00:34+00:00,2020-07-01 10:42:57+00:00,2020-07-01 00:00:00+00:00,53.292536331435386,88.80208632525276,11582.4,45.61962890625,8.72589111328125,220.98
4963,AZA9915,,4ca8f4,EI-IMB,A319,LIMF,LIMC,2020-07-01 00:52:46+00:00,2020-07-01 01:08:28+00:00,2020-07-01 00:00:00+00:00,45.2260111146054,7.650771722560978,609.6,45.62544250488281,8.734800757431403,213.36
5131,BCS78G,,471a6b,HA-KAD,B734,EGNX,LIMC,2020-07-01 00:57:10+00:00,2020-07-01 02:46:36+00:00,2020-07-01 00:00:00+00:00,52.82690048217773,-1.343727111816406,0.0,45.62113952636719,8.730848358898628,228.6
5451,BCS7120,,40726c,G-DHKK,B752,EBBR,LIMC,2020-07-01 01:05:14+00:00,2020-07-01 02:20:53+00:00,2020-07-01 00:00:00+00:00,50.90266799926758,4.457591288798564,0.0,45.63895274016815,8.728036880493164,
5774,AAL9729,,ab10cb,N812AA,B788,KPHL,LIMC,2020-07-01 01:14:09+00:00,2020-07-01 08:33:57+00:00,2020-07-01 00:00:00+00:00,39.866405422404654,-75.2470703125,0.0,45.63067245483398,8.7228095822218,
7185,FDX5168,,a02cb5,N110FE,B763,LFPG,LIMC,2020-07-01 02:00:54+00:00,2020-07-01 02:57:57+00:00,2020-07-01 00:00:00+00:00,49.02186584472656,2.535869891826924,0.0,45.63837083719545,8.728792190551758,236.22
7385,BCS7930,,4ca516,EI-OZM,A306,EDDP,LIMC,2020-07-01 02:07:09+00:00,2020-07-01 03:15:28+00:00,2020-07-01 00:00:00+00:00,51.41239929199219,12.22036000844595,0.0,45.62945938110352,8.73371217308975,220.98
7619,CLX78Z,,4d010b,LX-VCV,B744,KORD,LIMC,2020-07-01 02:15:29+00:00,2020-07-01 10:39:19+00:00,2020-07-01 00:00:00+00:00,41.98374938964844,-87.87938898259944,304.8,45.63308715820312,8.722080230712892,236.22
8474,ICV8722,C88722,4d0109,LX-TCV,B744,,LIMC,2020-07-01 02:46:18+00:00,2020-07-01 07:20:59+00:00,2020-07-01 00:00:00+00:00,59.47746276855469,54.20370483398438,10363.2,45.60688988637116,8.721136093139647,
8736,FDX6225,,ad7a5f,N968FD,B752,EBLG,LIMC,2020-07-01 02:56:36+00:00,2020-07-01 03:55:54+00:00,2020-07-01 00:00:00+00:00,50.6247672388109,5.42449951171875,609.6,45.62757071802172,8.734268188476562,228.6
