,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
2365,JAF3WB,,44d1c2,,,,LIPE,2019-06-30 22:13:29+00:00,2019-07-01 00:33:15+00:00,2019-07-01 00:00:00+00:00,34.42401123046875,-2.751290457589278,11277.6,44.542251845537606,11.26976199266387,38.1
3758,NOS619,,300189,I-NEOT,B738,,LIPE,2019-06-30 23:12:10+00:00,2019-07-01 01:12:25+00:00,2019-07-01 00:00:00+00:00,34.298355102539055,24.83375393614477,10972.8,44.451800847457626,11.18595774580793,2095.5
5168,BCS7116,,506c30,S5-ABW,A306,EDDP,LIPE,2019-06-30 23:45:17+00:00,2019-07-01 00:47:56+00:00,2019-07-01 00:00:00+00:00,51.40656552072299,12.11616516113281,914.4,44.67745971679688,11.09756469726562,1211.58
21233,FIN7LP,,461e1d,OH-LKN,E190,EFHK,LIPE,2019-07-01 04:59:02+00:00,2019-07-01 07:47:41+00:00,2019-07-01 00:00:00+00:00,60.33116912841797,24.946588976629855,0.0,44.57004353151483,11.19225478753811,373.38
21911,RYR52RR,FR4349,4ca67c,EI-FRB,B738,LEZL,LIPE,2019-07-01 05:10:43+00:00,2019-07-01 07:23:47+00:00,2019-07-01 00:00:00+00:00,37.44373386189089,-5.977458124575378,609.6,44.56690979003906,11.201084681919642,335.28
22094,AFL2424,,4248f4,VQ-BBC,A320,UUEE,LIPE,2019-07-01 05:13:40+00:00,2019-07-01 08:25:46+00:00,2019-07-01 00:00:00+00:00,55.96568298339844,37.37632057883523,609.6,44.57620239257812,11.175188337053573,449.58
23528,UAE93,EK93,8963e2,A6-EPS,B77W,OMDB,LIPE,2019-07-01 05:39:02+00:00,2019-07-01 11:36:06+00:00,2019-07-01 00:00:00+00:00,25.24798965454102,55.36436716715495,0.0,44.5821533203125,11.158447265625,541.02
24246,RYR9K,,4ca5e8,EI-FOC,B738,LEMG,LIPE,2019-07-01 05:52:43+00:00,2019-07-01 07:59:29+00:00,2019-07-01 00:00:00+00:00,36.69062805175781,-4.520645141601562,0.0,44.57125854492188,11.188855852399552,411.48
25341,THY9QA,,4baaa7,TC-JUG,A320,,LIPE,2019-07-01 06:14:04+00:00,2019-07-01 08:09:27+00:00,2019-07-01 00:00:00+00:00,41.41786193847656,28.60515247691761,1828.8,44.57583618164062,11.176103864397321,434.34
25749,RYR391,,4ca65c,EI-FRJ,B738,LIBR,LIPE,2019-07-01 06:21:47+00:00,2019-07-01 07:27:54+00:00,2019-07-01 00:00:00+00:00,40.75607299804688,17.82696533203125,1219.2,44.56773376464844,11.19866507393973,350.52
