,origin,destination,total,year,month
LIBR,74.0,119.0,193.0,2022,7
LYBE,96.0,94.0,190.0,2022,7
LIPQ,96.0,90.0,186.0,2022,7
KATL,92.0,92.0,184.0,2022,7
KORD,84.0,96.0,180.0,2022,7
EDDH,87.0,90.0,177.0,2022,7
LPPR,85.0,91.0,176.0,2022,7
LATI,14.0,158.0,172.0,2022,7
LFML,88.0,83.0,171.0,2022,7
EPKK,85.0,85.0,170.0,2022,7
EGNX,88.0,80.0,168.0,2022,7
LBSF,82.0,83.0,165.0,2022,7
CYUL,82.0,81.0,163.0,2022,7
LEAL,77.0,81.0,158.0,2022,7
EGGW,90.0,66.0,156.0,2022,7
LIEA,55.0,91.0,146.0,2022,7
LGKO,77.0,67.0,144.0,2022,7
EPKT,72.0,71.0,143.0,2022,7
LICZ,1.0,140.0,141.0,2022,7
LIMF,95.0,46.0,141.0,2022,7
LEMG,67.0,71.0,138.0,2022,7
LFOB,74.0,55.0,129.0,2022,7
CYYZ,63.0,64.0,127.0,2022,7
LRBC,59.0,60.0,119.0,2022,7
EVRA,61.0,57.0,118.0,2022,7
LIRQ,57.0,56.0,113.0,2022,7
KBOS,51.0,61.0,112.0,2022,7
LIRA,55.0,56.0,111.0,2022,7
LFPB,50.0,60.0,110.0,2022,7
LEZL,54.0,56.0,110.0,2022,7
EBMB,80.0,29.0,109.0,2022,7
KPHL,51.0,57.0,108.0,2022,7
EDDS,51.0,54.0,105.0,2022,7
EPMO,49.0,50.0,99.0,2022,7
LFBD,48.0,51.0,99.0,2022,7
EBLG,49.0,49.0,98.0,2022,7
LRTR,41.0,55.0,96.0,2022,7
EGGD,46.0,49.0,95.0,2022,7
LIBP,44.0,48.0,92.0,2022,7
LDDU,47.0,43.0,90.0,2022,7
DAAG,43.0,46.0,89.0,2022,7
LSZM,49.0,38.0,87.0,2022,7
LIEO,35.0,51.0,86.0,2022,7
LIRP,51.0,34.0,85.0,2022,7
EGPH,39.0,41.0,80.0,2022,7
LMML,40.0,37.0,77.0,2022,7
EETN,39.0,37.0,76.0,2022,7
EYVI,37.0,38.0,75.0,2022,7
LIPY,31.0,44.0,75.0,2022,7
RKSI,26.0,45.0,71.0,2022,7
EPGD,35.0,35.0,70.0,2022,7
EGBB,33.0,36.0,69.0,2022,7
EDDV,34.0,33.0,67.0,2022,7
EKBI,33.0,33.0,66.0,2022,7
LZIB,34.0,29.0,63.0,2022,7
LFBO,32.0,30.0,62.0,2022,7
OMAA,35.0,27.0,62.0,2022,7
LIPX,31.0,29.0,60.0,2022,7
KLAX,30.0,29.0,59.0,2022,7
EGLC,31.0,28.0,59.0,2022,7
LEZG,25.0,33.0,58.0,2022,7
SAEZ,28.0,28.0,56.0,2022,7
EGGP,27.0,28.0,55.0,2022,7
LPAR,1.0,54.0,55.0,2022,7
LIED,2.0,52.0,54.0,2022,7
SBMT,16.0,37.0,53.0,2022,7
LCLK,26.0,26.0,52.0,2022,7
EGKB,27.0,25.0,52.0,2022,7
EDDN,24.0,25.0,49.0,2022,7
LIBC,19.0,29.0,48.0,2022,7
KDFW,24.0,24.0,48.0,2022,7
EICK,23.0,24.0,47.0,2022,7
LFBT,23.0,22.0,45.0,2022,7
LPFR,22.0,23.0,45.0,2022,7
LIMZ,21.0,21.0,42.0,2022,7
KIAD,11.0,29.0,40.0,2022,7
KCLT,18.0,21.0,39.0,2022,7
OLBA,19.0,20.0,39.0,2022,7
LICB,17.0,21.0,38.0,2022,7
OBBI,20.0,18.0,38.0,2022,7
EDFM,18.0,19.0,37.0,2022,7
LIPL,22.0,15.0,37.0,2022,7
LFRS,29.0,6.0,35.0,2022,7
LJLJ,16.0,19.0,35.0,2022,7
LTBU,1.0,32.0,33.0,2022,7
GOBD,18.0,14.0,32.0,2022,7
EPWR,5.0,23.0,28.0,2022,7
OERK,6.0,20.0,26.0,2022,7
EGLF,12.0,14.0,26.0,2022,7
EPPO,13.0,13.0,26.0,2022,7
ESGG,13.0,13.0,26.0,2022,7
CYYC,13.0,12.0,25.0,2022,7
LIMB,16.0,7.0,23.0,2022,7
EDFH,12.0,11.0,23.0,2022,7
LIPO,7.0,16.0,23.0,2022,7
GMTT,10.0,12.0,22.0,2022,7
LICC,21.0,1.0,22.0,2022,7
EGNT,11.0,10.0,21.0,2022,7
YPPH,9.0,12.0,21.0,2022,7
LRIA,7.0,14.0,21.0,2022,7
LUKK,1.0,19.0,20.0,2022,7
LIDG,13.0,6.0,19.0,2022,7
LIDP,7.0,12.0,19.0,2022,7
OMDW,17.0,1.0,18.0,2022,7
LOWS,13.0,5.0,18.0,2022,7
GMME,10.0,8.0,18.0,2022,7
KMIA,9.0,9.0,18.0,2022,7
ENBR,8.0,9.0,17.0,2022,7
LDZL,3.0,14.0,17.0,2022,7
EIKN,8.0,9.0,17.0,2022,7
EKAH,9.0,8.0,17.0,2022,7
LFST,8.0,9.0,17.0,2022,7
LEGE,16.0,1.0,17.0,2022,7
LYPG,2.0,15.0,17.0,2022,7
LIPH,6.0,10.0,16.0,2022,7
LILG,8.0,8.0,16.0,2022,7
EGWU,5.0,10.0,15.0,2022,7
LPMA,7.0,8.0,15.0,2022,7
LTBA,4.0,11.0,15.0,2022,7
LCPH,7.0,8.0,15.0,2022,7
EFLP,7.0,8.0,15.0,2022,7
LIRZ,7.0,7.0,14.0,2022,7
LFQQ,7.0,7.0,14.0,2022,7
LIDU,8.0,6.0,14.0,2022,7
KCVG,3.0,10.0,13.0,2022,7
LRCV,5.0,8.0,13.0,2022,7
EHRD,5.0,8.0,13.0,2022,7
LIPR,4.0,9.0,13.0,2022,7
ENJB,6.0,7.0,13.0,2022,7
LSZA,9.0,4.0,13.0,2022,7
LDZI,7.0,6.0,13.0,2022,7
LFRM,10.0,2.0,12.0,2022,7
EPMR,4.0,8.0,12.0,2022,7
LILV,5.0,7.0,12.0,2022,7
LIPV,6.0,6.0,12.0,2022,7
EGTK,5.0,6.0,11.0,2022,7
LGSO,2.0,9.0,11.0,2022,7
EHBK,9.0,2.0,11.0,2022,7
LYTV,4.0,7.0,11.0,2022,7
LESL,5.0,6.0,11.0,2022,7
LIDR,7.0,4.0,11.0,2022,7
2NC1,2.0,8.0,10.0,2022,7
LDZA,9.0,1.0,10.0,2022,7
LSZB,7.0,3.0,10.0,2022,7
LJPZ,7.0,3.0,10.0,2022,7
LILR,6.0,4.0,10.0,2022,7
LILB,5.0,5.0,10.0,2022,7
LIPK,5.0,5.0,10.0,2022,7
EINN,6.0,4.0,10.0,2022,7
LOWG,6.0,4.0,10.0,2022,7
LIDF,5.0,4.0,9.0,2022,7
LSZR,5.0,4.0,9.0,2022,7
LDZB,5.0,4.0,9.0,2022,7
VHHH,2.0,7.0,9.0,2022,7
LOWI,3.0,6.0,9.0,2022,7
EBAW,4.0,4.0,8.0,2022,7
LIDB,4.0,4.0,8.0,2022,7
LDPL,5.0,3.0,8.0,2022,7
EKRK,3.0,4.0,7.0,2022,7
LILC,2.0,5.0,7.0,2022,7
EGNM,2.0,5.0,7.0,2022,7
LIMP,1.0,6.0,7.0,2022,7
LIMG,3.0,4.0,7.0,2022,7
LTFE,3.0,4.0,7.0,2022,7
ESSB,3.0,4.0,7.0,2022,7
KHPN,4.0,3.0,7.0,2022,7
LFMT,5.0,2.0,7.0,2022,7
EPRZ,6.0,1.0,7.0,2022,7
OERY,6.0,1.0,7.0,2022,7
KTEB,4.0,3.0,7.0,2022,7
LIDH,5.0,1.0,6.0,2022,7
LIEE,1.0,5.0,6.0,2022,7
LYNI,1.0,5.0,6.0,2022,7
VIDP,4.0,2.0,6.0,2022,7
EDDW,2.0,4.0,6.0,2022,7
8KY6,2.0,4.0,6.0,2022,7
LFMV,4.0,2.0,6.0,2022,7
LIDA,2.0,4.0,6.0,2022,7
EDLN,2.0,4.0,6.0,2022,7
EGPF,2.0,3.0,5.0,2022,7
OTBD,3.0,2.0,5.0,2022,7
LIRE,2.0,3.0,5.0,2022,7
LFTW,4.0,1.0,5.0,2022,7
LFMQ,2.0,3.0,5.0,2022,7
LIDC,1.0,4.0,5.0,2022,7
LIDT,2.0,3.0,5.0,2022,7
EDNY,3.0,2.0,5.0,2022,7
LPCS,2.0,2.0,4.0,2022,7
OA16,1.0,3.0,4.0,2022,7
EBKT,3.0,1.0,4.0,2022,7
LIPN,1.0,3.0,4.0,2022,7
EGNP,3.0,1.0,4.0,2022,7
ENTO,1.0,3.0,4.0,2022,7
LIPB,3.0,1.0,4.0,2022,7
KBWI,3.0,1.0,4.0,2022,7
EDMA,2.0,2.0,4.0,2022,7
EDJA,2.0,2.0,4.0,2022,7
EGBJ,1.0,3.0,4.0,2022,7
EGPK,2.0,2.0,4.0,2022,7
LGPZ,2.0,2.0,4.0,2022,7
DAOO,2.0,2.0,4.0,2022,7
WSAP,2.0,2.0,4.0,2022,7
EGJJ,1.0,2.0,3.0,2022,7
LIAR,1.0,2.0,3.0,2022,7
EDSB,1.0,2.0,3.0,2022,7
LFOP,1.0,2.0,3.0,2022,7
LFBZ,2.0,1.0,3.0,2022,7
ETHN,1.0,2.0,3.0,2022,7
EDAZ,2.0,1.0,3.0,2022,7
LIDE,1.0,2.0,3.0,2022,7
LFLC,2.0,1.0,3.0,2022,7
EDDG,2.0,1.0,3.0,2022,7
LGSM,2.0,1.0,3.0,2022,7
LSGC,2.0,1.0,3.0,2022,7
LOAN,1.0,1.0,2.0,2022,7
RJTT,1.0,1.0,2.0,2022,7
LIQL,1.0,1.0,2.0,2022,7
EGMC,1.0,1.0,2.0,2022,7
LSGL,1.0,1.0,2.0,2022,7
EDVE,1.0,1.0,2.0,2022,7
EGSH,1.0,1.0,2.0,2022,7
EGFF,1.0,1.0,2.0,2022,7
LSZL,1.0,1.0,2.0,2022,7
KLUK,1.0,1.0,2.0,2022,7
ETAR,1.0,1.0,2.0,2022,7
LFOZ,1.0,1.0,2.0,2022,7
WSAC,1.0,1.0,2.0,2022,7
EDLV,1.0,1.0,2.0,2022,7
EDTD,1.0,1.0,2.0,2022,7
EDXW,1.0,1.0,2.0,2022,7
EDLA,1.0,1.0,2.0,2022,7
LFPM,1.0,1.0,2.0,2022,7
LFCR,1.0,1.0,2.0,2022,7
LFBP,1.0,1.0,2.0,2022,7
EGHI,1.0,1.0,2.0,2022,7
EGTE,1.0,1.0,2.0,2022,7
EGNR,1.0,1.0,2.0,2022,7
98VA,13.0,,,2022,7
LIPM,11.0,,,2022,7
GA95,9.0,,,2022,7
LIDV,5.0,,,2022,7
OMSJ,5.0,,,2022,7
ZGSZ,5.0,,,2022,7
LYPO,5.0,,,2022,7
RPLL,5.0,,,2022,7
VTBS,4.0,,,2022,7
LFLY,3.0,,,2022,7
KAKH,3.0,,,2022,7
LIQG,3.0,,,2022,7
VOMM,3.0,,,2022,7
LGKF,3.0,,,2022,7
EDMO,3.0,,,2022,7
RJBB,3.0,,,2022,7
LIPU,2.0,,,2022,7
LPEV,2.0,,,2022,7
MDMA,2.0,,,2022,7
89GE,2.0,,,2022,7
EDRZ,2.0,,,2022,7
ENBO,2.0,,,2022,7
EDDC,2.0,,,2022,7
LFJR,2.0,,,2022,7
LIRV,2.0,,,2022,7
KLNN,2.0,,,2022,7
LIRU,2.0,,,2022,7
LFNG,2.0,,,2022,7
KISP,2.0,,,2022,7
LJBL,1.0,,,2022,7
LSTZ,1.0,,,2022,7
LOWL,1.0,,,2022,7
LIMR,1.0,,,2022,7
LEMU,1.0,,,2022,7
KPVU,1.0,,,2022,7
LGKN,1.0,,,2022,7
LEVX,1.0,,,2022,7
KPIT,1.0,,,2022,7
EPZB,1.0,,,2022,7
EGHG,1.0,,,2022,7
KDTW,1.0,,,2022,7
KACK,1.0,,,2022,7
LEDA,1.0,,,2022,7
LKTB,1.0,,,2022,7
LIQB,1.0,,,2022,7
EGHH,1.0,,,2022,7
LSZC,1.0,,,2022,7
EGVN,1.0,,,2022,7
EGPC,1.0,,,2022,7
KLDJ,1.0,,,2022,7
LIRI,1.0,,,2022,7
KRDU,1.0,,,2022,7
4NY8,1.0,,,2022,7
51GA,1.0,,,2022,7
LOXZ,1.0,,,2022,7
EDVK,1.0,,,2022,7
VVNB,1.0,,,2022,7
KHOU,1.0,,,2022,7
LESB,1.0,,,2022,7
KOQU,1.0,,,2022,7
LFEZ,1.0,,,2022,7
LILE,1.0,,,2022,7
WSSS,1.0,,,2022,7
LFBH,1.0,,,2022,7
KSAV,1.0,,,2022,7
KALB,1.0,,,2022,7
KFOK,1.0,,,2022,7
LFOT,1.0,,,2022,7
LKKB,1.0,,,2022,7
LFQM,1.0,,,2022,7
07VT,1.0,,,2022,7
KENW,1.0,,,2022,7
LQJL,1.0,,,2022,7
LFMU,1.0,,,2022,7
LIPI,1.0,,,2022,7
LFBF,1.0,,,2022,7
UGTB,1.0,,,2022,7
LIPC,1.0,,,2022,7
KMLB,1.0,,,2022,7
EDTX,1.0,,,2022,7
EDRK,1.0,,,2022,7
KGRR,1.0,,,2022,7
EDFE,1.0,,,2022,7
LFAV,1.0,,,2022,7
LFLP,1.0,,,2022,7
LIPF,1.0,,,2022,7
EIKY,1.0,,,2022,7
OEDF,1.0,,,2022,7
LFLI,1.0,,,2022,7
LSGK,1.0,,,2022,7
EGKR,,293.0,,2022,7
LICP,,86.0,,2022,7
LAGJ,,71.0,,2022,7
LTBW,,52.0,,2022,7
OJAM,,50.0,,2022,7
LIMA,,46.0,,2022,7
LICR,,23.0,,2022,7
LLSD,,18.0,,2022,7
LFPC,,18.0,,2022,7
LGNX,,16.0,,2022,7
PANC,,15.0,,2022,7
LFFW,,14.0,,2022,7
LFNR,,14.0,,2022,7
4GE2,,12.0,,2022,7
25GA,,12.0,,2022,7
MDBE,,10.0,,2022,7
LILO,,9.0,,2022,7
LFLS,,9.0,,2022,7
OM11,,8.0,,2022,7
RJAA,,8.0,,2022,7
LEAP,,8.0,,2022,7
LQPD,,8.0,,2022,7
LFKP,,7.0,,2022,7
LJCE,,7.0,,2022,7
LFRI,,7.0,,2022,7
LIQS,,7.0,,2022,7
LFLL,,6.0,,2022,7
LIAT,,6.0,,2022,7
LD57,,6.0,,2022,7
5TX6,,5.0,,2022,7
LIQW,,4.0,,2022,7
RJAK,,4.0,,2022,7
LGTP,,4.0,,2022,7
EPRJ,,4.0,,2022,7
LELL,,4.0,,2022,7
LGSK,,3.0,,2022,7
OMAM,,3.0,,2022,7
LDZE,,3.0,,2022,7
LOGT,,3.0,,2022,7
BIRK,,3.0,,2022,7
LGPA,,3.0,,2022,7
LFNT,,3.0,,2022,7
LHTM,,3.0,,2022,7
LRCD,,3.0,,2022,7
EVRS,,3.0,,2022,7
EYKA,,3.0,,2022,7
EDTY,,2.0,,2022,7
EGTD,,2.0,,2022,7
LE84,,2.0,,2022,7
WSAT,,2.0,,2022,7
LIBV,,2.0,,2022,7
LFHJ,,2.0,,2022,7
LPPS,,2.0,,2022,7
LSMP,,2.0,,2022,7
LDZD,,2.0,,2022,7
EGCN,,2.0,,2022,7
LGTS,,2.0,,2022,7
LEST,,2.0,,2022,7
LBLS,,2.0,,2022,7
LFME,,2.0,,2022,7
LOLW,,2.0,,2022,7
OEDR,,2.0,,2022,7
LFFK,,2.0,,2022,7
EDKB,,2.0,,2022,7
LIRS,,2.0,,2022,7
GMMY,,2.0,,2022,7
EDRY,,2.0,,2022,7
LFGC,,2.0,,2022,7
IG07,,2.0,,2022,7
LJBO,,2.0,,2022,7
EGAA,,2.0,,2022,7
LFPN,,2.0,,2022,7
EDTM,,2.0,,2022,7
LGIK,,2.0,,2022,7
LFMD,,2.0,,2022,7
LFIX,,2.0,,2022,7
OMDM,,2.0,,2022,7
LFPD,,1.0,,2022,7
EELM,,1.0,,2022,7
LOKG,,1.0,,2022,7
LFMP,,1.0,,2022,7
KBFI,,1.0,,2022,7
EBTY,,1.0,,2022,7
LFKJ,,1.0,,2022,7
LHPR,,1.0,,2022,7
OMAF,,1.0,,2022,7
LFFV,,1.0,,2022,7
LIBG,,1.0,,2022,7
EPSW,,1.0,,2022,7
FACT,,1.0,,2022,7
LHSM,,1.0,,2022,7
LGKV,,1.0,,2022,7
UUML,,1.0,,2022,7
LFGZ,,1.0,,2022,7
LFRT,,1.0,,2022,7
LGKR,,1.0,,2022,7
LIMS,,1.0,,2022,7
EDEG,,1.0,,2022,7
KPWK,,1.0,,2022,7
LFLE,,1.0,,2022,7
EDRW,,1.0,,2022,7
SBGR,,1.0,,2022,7
EGPE,,1.0,,2022,7
KAHN,,1.0,,2022,7
EPSO,,1.0,,2022,7
KGRB,,1.0,,2022,7
EGHQ,,1.0,,2022,7
LFNL,,1.0,,2022,7
LFFI,,1.0,,2022,7
EFTP,,1.0,,2022,7
SBGL,,1.0,,2022,7
WSAG,,1.0,,2022,7
LDRI,,1.0,,2022,7
OMAD,,1.0,,2022,7
LIPA,,1.0,,2022,7
GMTN,,1.0,,2022,7
LFSS,,1.0,,2022,7
LFMI,,1.0,,2022,7
OE53,,1.0,,2022,7
KERI,,1.0,,2022,7
LFNZ,,1.0,,2022,7
OH68,,1.0,,2022,7
LJPT,,1.0,,2022,7
LFAM,,1.0,,2022,7
LTBJ,,1.0,,2022,7
EPLR,,1.0,,2022,7
LSMD,,1.0,,2022,7
LFTZ,,1.0,,2022,7
EDKZ,,1.0,,2022,7
LIMN,,1.0,,2022,7
FAPE,,1.0,,2022,7
LDPM,,1.0,,2022,7
LILN,,1.0,,2022,7
DA14,,1.0,,2022,7
EGTC,,1.0,,2022,7
KBEH,,1.0,,2022,7
KMDW,,1.0,,2022,7
ETSI,,1.0,,2022,7
EGKL,,1.0,,2022,7
EGPN,,1.0,,2022,7
LEPP,,1.0,,2022,7
VECC,,1.0,,2022,7
LIRL,,1.0,,2022,7
LGEL,,1.0,,2022,7
LFKS,,1.0,,2022,7
LEDS,,1.0,,2022,7
LIBF,,1.0,,2022,7
LSZS,,1.0,,2022,7
LKMT,,1.0,,2022,7
KABE,,1.0,,2022,7
KTPA,,1.0,,2022,7
EBMO,,1.0,,2022,7
LEMP,,1.0,,2022,7
ETNL,,1.0,,2022,7
KSDL,,1.0,,2022,7
KHHR,,1.0,,2022,7
LFLU,,1.0,,2022,7
EDTF,,1.0,,2022,7
EDLE,,1.0,,2022,7
EDRN,,1.0,,2022,7
LKVO,,1.0,,2022,7
KBCT,,1.0,,2022,7
LFFG,,1.0,,2022,7
SDTB,,1.0,,2022,7
LERM,,1.0,,2022,7
LKPD,,1.0,,2022,7
EDEF,,1.0,,2022,7
EDNG,,1.0,,2022,7
LIER,,1.0,,2022,7
GMFF,,1.0,,2022,7
