,origin,destination,total,year,month
LIRF,9633.0,9874.0,19507.0,2022,7
LIMC,8032.0,8406.0,16438.0,2022,7
LIME,3902.0,3990.0,7892.0,2022,7
LIPZ,3810.0,3846.0,7656.0,2022,7
LIPE,3395.0,3642.0,7037.0,2022,7
LEBL,839.0,815.0,1654.0,2022,7
LFPG,784.0,779.0,1563.0,2022,7
LEMD,768.0,746.0,1514.0,2022,7
LIBD,613.0,621.0,1234.0,2022,7
EHAM,589.0,557.0,1146.0,2022,7
EDDF,507.0,465.0,972.0,2022,7
LOWW,492.0,479.0,971.0,2022,7
EGLL,417.0,431.0,848.0,2022,7
LPPT,437.0,387.0,824.0,2022,7
LICJ,608.0,192.0,800.0,2022,7
EDDM,382.0,383.0,765.0,2022,7
EGSS,362.0,369.0,731.0,2022,7
LEIB,366.0,357.0,723.0,2022,7
LIML,333.0,350.0,683.0,2022,7
EGKK,479.0,189.0,668.0,2022,7
EKCH,321.0,321.0,642.0,2022,7
LSZH,322.0,315.0,637.0,2022,7
KJFK,288.0,328.0,616.0,2022,7
EDDK,301.0,301.0,602.0,2022,7
EBBR,264.0,326.0,590.0,2022,7
LGAV,399.0,169.0,568.0,2022,7
LLBG,296.0,269.0,565.0,2022,7
EDDP,278.0,260.0,538.0,2022,7
LFPO,270.0,265.0,535.0,2022,7
LICA,223.0,263.0,486.0,2022,7
EIDW,216.0,219.0,435.0,2022,7
LEPA,214.0,219.0,433.0,2022,7
EFHK,201.0,202.0,403.0,2022,7
LROP,203.0,184.0,387.0,2022,7
LTFM,196.0,187.0,383.0,2022,7
GMMN,182.0,196.0,378.0,2022,7
ELLX,184.0,182.0,366.0,2022,7
LFMN,198.0,164.0,362.0,2022,7
LKPR,181.0,177.0,358.0,2022,7
EDDB,170.0,164.0,334.0,2022,7
EGCC,167.0,166.0,333.0,2022,7
LHBP,169.0,160.0,329.0,2022,7
ENGM,157.0,160.0,317.0,2022,7
EPWA,154.0,149.0,303.0,2022,7
OMDB,165.0,135.0,300.0,2022,7
LTFJ,149.0,148.0,297.0,2022,7
OTHH,135.0,147.0,282.0,2022,7
ESSA,135.0,139.0,274.0,2022,7
EDDL,132.0,132.0,264.0,2022,7
EBCI,130.0,131.0,261.0,2022,7
LEMH,127.0,130.0,257.0,2022,7
LGMK,107.0,141.0,248.0,2022,7
LIMJ,122.0,125.0,247.0,2022,7
KEWR,121.0,124.0,245.0,2022,7
EHEH,114.0,111.0,225.0,2022,7
LSGG,103.0,115.0,218.0,2022,7
LGRP,102.0,105.0,207.0,2022,7
