,origin,destination,total,year,month
LKPR,39.0,44.0,83.0,2021,7
EGGW,48.0,35.0,83.0,2021,7
LIBP,41.0,40.0,81.0,2021,7
ESSA,41.0,40.0,81.0,2021,7
LIRP,40.0,38.0,78.0,2021,7
HECA,68.0,7.0,75.0,2021,7
LGKO,42.0,32.0,74.0,2021,7
EPMO,37.0,37.0,74.0,2021,7
LIPL,40.0,32.0,72.0,2021,7
LEZL,33.0,39.0,72.0,2021,7
LIPY,27.0,44.0,71.0,2021,7
GOBD,37.0,33.0,70.0,2021,7
LFML,43.0,25.0,68.0,2021,7
EPKT,33.0,33.0,66.0,2021,7
LIMA,4.0,62.0,66.0,2021,7
KDFW,32.0,33.0,65.0,2021,7
LFPB,27.0,36.0,63.0,2021,7
EETN,31.0,32.0,63.0,2021,7
KATL,29.0,31.0,60.0,2021,7
LDZA,28.0,30.0,58.0,2021,7
LTBA,21.0,33.0,54.0,2021,7
EYVI,26.0,26.0,52.0,2021,7
LDSR,13.0,34.0,47.0,2021,7
BIKF,24.0,23.0,47.0,2021,7
RJAA,10.0,36.0,46.0,2021,7
EGKK,30.0,13.0,43.0,2021,7
EPGD,20.0,23.0,43.0,2021,7
LSZM,30.0,12.0,42.0,2021,7
CYYZ,21.0,19.0,40.0,2021,7
LJLJ,21.0,19.0,40.0,2021,7
EKBI,18.0,22.0,40.0,2021,7
ULLI,19.0,20.0,39.0,2021,7
LPFR,19.0,18.0,37.0,2021,7
EDFM,12.0,22.0,34.0,2021,7
LCLK,17.0,17.0,34.0,2021,7
LILG,16.0,17.0,33.0,2021,7
ENGM,18.0,15.0,33.0,2021,7
EGPH,16.0,16.0,32.0,2021,7
LFBD,15.0,17.0,32.0,2021,7
LGSA,17.0,14.0,31.0,2021,7
EPWR,13.0,17.0,30.0,2021,7
LYBE,21.0,9.0,30.0,2021,7
WSSS,17.0,12.0,29.0,2021,7
LPAR,4.0,25.0,29.0,2021,7
EDDV,12.0,17.0,29.0,2021,7
LIPM,1.0,28.0,29.0,2021,7
EGLF,10.0,17.0,27.0,2021,7
UUDD,12.0,14.0,26.0,2021,7
RJTT,13.0,13.0,26.0,2021,7
HEAZ,1.0,24.0,25.0,2021,7
LICR,1.0,23.0,24.0,2021,7
UKKK,10.0,13.0,23.0,2021,7
VHHH,11.0,12.0,23.0,2021,7
EDDS,12.0,10.0,22.0,2021,7
KORD,14.0,7.0,21.0,2021,7
KCVG,8.0,12.0,20.0,2021,7
LIPO,5.0,15.0,20.0,2021,7
LIBC,7.0,13.0,20.0,2021,7
EGAA,10.0,10.0,20.0,2021,7
ESGG,10.0,10.0,20.0,2021,7
DAAG,12.0,8.0,20.0,2021,7
EGKR,1.0,18.0,19.0,2021,7
EPPO,10.0,9.0,19.0,2021,7
EYKA,9.0,10.0,19.0,2021,7
LIDP,4.0,15.0,19.0,2021,7
LIRZ,11.0,8.0,19.0,2021,7
DTTA,7.0,11.0,18.0,2021,7
LFBT,9.0,9.0,18.0,2021,7
LFBO,9.0,9.0,18.0,2021,7
OERK,7.0,10.0,17.0,2021,7
SBGR,8.0,8.0,16.0,2021,7
LICT,8.0,8.0,16.0,2021,7
OLBA,9.0,7.0,16.0,2021,7
LGKN,4.0,12.0,16.0,2021,7
LOWS,10.0,6.0,16.0,2021,7
LESL,5.0,11.0,16.0,2021,7
LCPH,7.0,8.0,15.0,2021,7
LIDH,8.0,6.0,14.0,2021,7
HEBA,7.0,7.0,14.0,2021,7
LIRQ,6.0,7.0,13.0,2021,7
CYUL,5.0,8.0,13.0,2021,7
GMTT,8.0,5.0,13.0,2021,7
LIPH,3.0,10.0,13.0,2021,7
LDPL,9.0,3.0,12.0,2021,7
8KY6,7.0,5.0,12.0,2021,7
LFRS,10.0,1.0,11.0,2021,7
LFKF,5.0,6.0,11.0,2021,7
LRCV,4.0,7.0,11.0,2021,7
EGAC,5.0,6.0,11.0,2021,7
LIMB,6.0,5.0,11.0,2021,7
EGKB,3.0,8.0,11.0,2021,7
LILR,7.0,4.0,11.0,2021,7
EDFH,6.0,4.0,10.0,2021,7
EDMO,3.0,7.0,10.0,2021,7
LIDB,4.0,6.0,10.0,2021,7
VIDP,5.0,5.0,10.0,2021,7
LIPV,7.0,2.0,9.0,2021,7
LETO,1.0,8.0,9.0,2021,7
EGBB,3.0,6.0,9.0,2021,7
LIPU,6.0,3.0,9.0,2021,7
LIPR,6.0,3.0,9.0,2021,7
OMAA,3.0,6.0,9.0,2021,7
LGSO,3.0,5.0,8.0,2021,7
LIMG,3.0,5.0,8.0,2021,7
LZIB,3.0,5.0,8.0,2021,7
LOWL,3.0,5.0,8.0,2021,7
EDDN,5.0,3.0,8.0,2021,7
LSZB,6.0,2.0,8.0,2021,7
EDJA,5.0,3.0,8.0,2021,7
LSZR,4.0,4.0,8.0,2021,7
EHRD,4.0,3.0,7.0,2021,7
LILV,4.0,3.0,7.0,2021,7
LJPZ,4.0,3.0,7.0,2021,7
LSGS,2.0,5.0,7.0,2021,7
LFMV,5.0,2.0,7.0,2021,7
EDAZ,4.0,3.0,7.0,2021,7
LIDT,2.0,5.0,7.0,2021,7
EDSB,4.0,3.0,7.0,2021,7
LFNR,2.0,5.0,7.0,2021,7
LIRU,6.0,1.0,7.0,2021,7
EBKT,2.0,4.0,6.0,2021,7
LIDR,3.0,3.0,6.0,2021,7
EDRY,4.0,2.0,6.0,2021,7
LILB,4.0,2.0,6.0,2021,7
ETHN,3.0,3.0,6.0,2021,7
LTFE,4.0,2.0,6.0,2021,7
GCRR,3.0,3.0,6.0,2021,7
OTBD,3.0,3.0,6.0,2021,7
ESKN,2.0,4.0,6.0,2021,7
LIDF,1.0,4.0,5.0,2021,7
LOWG,2.0,3.0,5.0,2021,7
LICG,2.0,3.0,5.0,2021,7
LSGC,1.0,4.0,5.0,2021,7
KTEB,1.0,4.0,5.0,2021,7
LSZC,1.0,4.0,5.0,2021,7
EDMA,3.0,2.0,5.0,2021,7
EGBJ,3.0,2.0,5.0,2021,7
LIDG,3.0,2.0,5.0,2021,7
LIPC,4.0,1.0,5.0,2021,7
WSAC,4.0,1.0,5.0,2021,7
LFLU,3.0,2.0,5.0,2021,7
LRCK,3.0,2.0,5.0,2021,7
ESSB,2.0,2.0,4.0,2021,7
ESMS,2.0,2.0,4.0,2021,7
EGTK,3.0,1.0,4.0,2021,7
LIDU,1.0,3.0,4.0,2021,7
KHPN,1.0,3.0,4.0,2021,7
EBAW,3.0,1.0,4.0,2021,7
LIMZ,2.0,2.0,4.0,2021,7
LEZG,3.0,1.0,4.0,2021,7
VABB,3.0,1.0,4.0,2021,7
EINN,3.0,1.0,4.0,2021,7
LSZA,1.0,3.0,4.0,2021,7
EHBK,3.0,1.0,4.0,2021,7
LIPK,3.0,1.0,4.0,2021,7
LIDE,2.0,2.0,4.0,2021,7
EDRZ,3.0,1.0,4.0,2021,7
LIRL,2.0,2.0,4.0,2021,7
LIRE,3.0,1.0,4.0,2021,7
LFTZ,1.0,3.0,4.0,2021,7
LFMD,1.0,2.0,3.0,2021,7
EDLV,1.0,2.0,3.0,2021,7
LIMP,1.0,2.0,3.0,2021,7
EDNY,1.0,2.0,3.0,2021,7
LIQW,1.0,2.0,3.0,2021,7
LFLB,2.0,1.0,3.0,2021,7
EKOD,1.0,2.0,3.0,2021,7
LIPD,2.0,1.0,3.0,2021,7
LFCK,2.0,1.0,3.0,2021,7
LEGE,2.0,1.0,3.0,2021,7
HKJK,2.0,1.0,3.0,2021,7
LIAT,2.0,1.0,3.0,2021,7
EDMS,1.0,1.0,2.0,2021,7
EPSY,1.0,1.0,2.0,2021,7
OKBK,1.0,1.0,2.0,2021,7
UAAA,1.0,1.0,2.0,2021,7
EPRZ,1.0,1.0,2.0,2021,7
LFOK,1.0,1.0,2.0,2021,7
EDTD,1.0,1.0,2.0,2021,7
LOLW,1.0,1.0,2.0,2021,7
LRBS,1.0,1.0,2.0,2021,7
EDRK,1.0,1.0,2.0,2021,7
EDVE,1.0,1.0,2.0,2021,7
EDTL,1.0,1.0,2.0,2021,7
LIVV,1.0,1.0,2.0,2021,7
LJMB,1.0,1.0,2.0,2021,7
LIRH,1.0,1.0,2.0,2021,7
KMMU,1.0,1.0,2.0,2021,7
LFMA,1.0,1.0,2.0,2021,7
LFLI,1.0,1.0,2.0,2021,7
LILN,1.0,1.0,2.0,2021,7
EDDC,1.0,1.0,2.0,2021,7
EDDG,1.0,1.0,2.0,2021,7
LFPM,1.0,1.0,2.0,2021,7
EDQG,1.0,1.0,2.0,2021,7
ETMN,1.0,1.0,2.0,2021,7
LILE,1.0,1.0,2.0,2021,7
LFST,1.0,1.0,2.0,2021,7
OBBI,14.0,,,2021,7
KLAX,7.0,,,2021,7
LIPB,6.0,,,2021,7
LFBZ,3.0,,,2021,7
GCLP,2.0,,,2021,7
LIDV,2.0,,,2021,7
FAOR,2.0,,,2021,7
ZGSZ,2.0,,,2021,7
LIDA,2.0,,,2021,7
EGSH,2.0,,,2021,7
LSMA,2.0,,,2021,7
EBMO,2.0,,,2021,7
EDDW,2.0,,,2021,7
KRFD,2.0,,,2021,7
LDSP,2.0,,,2021,7
KLUK,2.0,,,2021,7
LFTH,2.0,,,2021,7
LIPF,2.0,,,2021,7
ORMM,2.0,,,2021,7
LFLY,2.0,,,2021,7
KPBI,1.0,,,2021,7
LSGT,1.0,,,2021,7
LKMT,1.0,,,2021,7
ZUCK,1.0,,,2021,7
LPCS,1.0,,,2021,7
EDQO,1.0,,,2021,7
LFKM,1.0,,,2021,7
KBEH,1.0,,,2021,7
LSGL,1.0,,,2021,7
EDDE,1.0,,,2021,7
EDGB,1.0,,,2021,7
OEDF,1.0,,,2021,7
EGSC,1.0,,,2021,7
LOIJ,1.0,,,2021,7
LSGK,1.0,,,2021,7
OMDM,1.0,,,2021,7
OMSJ,1.0,,,2021,7
GMFF,1.0,,,2021,7
EDLW,1.0,,,2021,7
LFRK,1.0,,,2021,7
RPLL,1.0,,,2021,7
ENBO,1.0,,,2021,7
LFBF,1.0,,,2021,7
LOXZ,1.0,,,2021,7
EDAM,1.0,,,2021,7
LDZD,1.0,,,2021,7
LIBG,1.0,,,2021,7
KCGF,1.0,,,2021,7
KBOS,1.0,,,2021,7
LDDU,1.0,,,2021,7
EDFC,1.0,,,2021,7
LFPV,1.0,,,2021,7
LTAC,1.0,,,2021,7
LKTB,1.0,,,2021,7
EGWU,1.0,,,2021,7
KVNY,1.0,,,2021,7
VGZR,1.0,,,2021,7
OA16,1.0,,,2021,7
EDTM,1.0,,,2021,7
KPIT,1.0,,,2021,7
LFTW,1.0,,,2021,7
LFMP,1.0,,,2021,7
KBAF,1.0,,,2021,7
LFKC,1.0,,,2021,7
LIPN,1.0,,,2021,7
LKCS,1.0,,,2021,7
KLCK,1.0,,,2021,7
WMKK,1.0,,,2021,7
EDFE,1.0,,,2021,7
LICP,,93.0,,2021,7
LIAU,,80.0,,2021,7
HEEM,,21.0,,2021,7
LGMG,,16.0,,2021,7
LFLS,,15.0,,2021,7
LFMY,,14.0,,2021,7
LGNX,,14.0,,2021,7
LGEL,,7.0,,2021,7
LTBW,,7.0,,2021,7
LYSM,,7.0,,2021,7
LFFW,,6.0,,2021,7
LFGB,,5.0,,2021,7
OMDW,,5.0,,2021,7
7KY2,,5.0,,2021,7
LIRN,,4.0,,2021,7
ESSP,,4.0,,2021,7
LIPS,,4.0,,2021,7
LFKP,,3.0,,2021,7
LOWI,,3.0,,2021,7
RJAK,,3.0,,2021,7
LIQL,,3.0,,2021,7
LTBU,,3.0,,2021,7
LFFI,,3.0,,2021,7
GCFV,,2.0,,2021,7
LSZS,,2.0,,2021,7
UK61,,2.0,,2021,7
LPBJ,,2.0,,2021,7
LFPD,,2.0,,2021,7
OMAD,,2.0,,2021,7
LIMS,,2.0,,2021,7
LIDC,,2.0,,2021,7
KLDJ,,2.0,,2021,7
HE12,,2.0,,2021,7
LOGT,,2.0,,2021,7
EDTB,,2.0,,2021,7
LGTT,,2.0,,2021,7
OJAM,,2.0,,2021,7
LEMP,,2.0,,2021,7
LFFZ,,2.0,,2021,7
LD57,,2.0,,2021,7
LDPM,,2.0,,2021,7
LFAS,,1.0,,2021,7
LB18,,1.0,,2021,7
EYRU,,1.0,,2021,7
LKPD,,1.0,,2021,7
LFOV,,1.0,,2021,7
LDRI,,1.0,,2021,7
LIMN,,1.0,,2021,7
LSML,,1.0,,2021,7
EGGP,,1.0,,2021,7
LGSK,,1.0,,2021,7
LFNX,,1.0,,2021,7
LDRG,,1.0,,2021,7
KSYR,,1.0,,2021,7
KU42,,1.0,,2021,7
EDGS,,1.0,,2021,7
LFKS,,1.0,,2021,7
LFKJ,,1.0,,2021,7
LEAP,,1.0,,2021,7
LGTP,,1.0,,2021,7
EDQD,,1.0,,2021,7
KOPF,,1.0,,2021,7
EFKU,,1.0,,2021,7
FALA,,1.0,,2021,7
BIRK,,1.0,,2021,7
KFRG,,1.0,,2021,7
UUMO,,1.0,,2021,7
GMMX,,1.0,,2021,7
LIDL,,1.0,,2021,7
SBGL,,1.0,,2021,7
LFMF,,1.0,,2021,7
GMFU,,1.0,,2021,7
LIRS,,1.0,,2021,7
OMAF,,1.0,,2021,7
LPAZ,,1.0,,2021,7
LFNT,,1.0,,2021,7
LFRT,,1.0,,2021,7
LSGN,,1.0,,2021,7
LILH,,1.0,,2021,7
LIDW,,1.0,,2021,7
LFME,,1.0,,2021,7
LFHI,,1.0,,2021,7
USSS,,1.0,,2021,7
ESKX,,1.0,,2021,7
WIDD,,1.0,,2021,7
HE13,,1.0,,2021,7
EKRK,,1.0,,2021,7
EDVK,,1.0,,2021,7
LFRI,,1.0,,2021,7
LZKZ,,1.0,,2021,7
LIQS,,1.0,,2021,7
LFTF,,1.0,,2021,7
20KY,,1.0,,2021,7
LSZG,,1.0,,2021,7
EGJJ,,1.0,,2021,7
LLHZ,,1.0,,2021,7
EFKK,,1.0,,2021,7
LFEB,,1.0,,2021,7
KBKL,,1.0,,2021,7
KMIA,,1.0,,2021,7
LFGC,,1.0,,2021,7
OKAS,,1.0,,2021,7
LILC,,1.0,,2021,7
EPLE,,1.0,,2021,7
MPMG,,1.0,,2021,7
GMMT,,1.0,,2021,7
EGHI,,1.0,,2021,7
LSTS,,1.0,,2021,7
EKYT,,1.0,,2021,7
