,origin,destination,total,year,month
LIMC,6304.0,6495.0,12799.0,2021,7
LIRF,6035.0,6151.0,12186.0,2021,7
LIME,3393.0,3492.0,6885.0,2021,7
LIPZ,2382.0,2434.0,4816.0,2021,7
LIPE,2267.0,1907.0,4174.0,2021,7
LFPG,593.0,591.0,1184.0,2021,7
LEBL,578.0,592.0,1170.0,2021,7
LIBD,507.0,521.0,1028.0,2021,7
EHAM,466.0,453.0,919.0,2021,7
LEMD,444.0,455.0,899.0,2021,7
LICJ,444.0,356.0,800.0,2021,7
LIEE,405.0,342.0,747.0,2021,7
LICZ,22.0,716.0,738.0,2021,7
EDDF,365.0,356.0,721.0,2021,7
LIEO,436.0,224.0,660.0,2021,7
EDDP,256.0,287.0,543.0,2021,7
LEIB,266.0,272.0,538.0,2021,7
KJFK,261.0,268.0,529.0,2021,7
LIML,242.0,248.0,490.0,2021,7
GMMN,231.0,241.0,472.0,2021,7
EDDM,227.0,241.0,468.0,2021,7
LOWW,232.0,203.0,435.0,2021,7
LPPT,220.0,211.0,431.0,2021,7
LICA,186.0,240.0,426.0,2021,7
LIBR,36.0,389.0,425.0,2021,7
EDDK,209.0,215.0,424.0,2021,7
EKCH,202.0,207.0,409.0,2021,7
EGSS,197.0,209.0,406.0,2021,7
LROP,179.0,177.0,356.0,2021,7
EGLL,168.0,188.0,356.0,2021,7
LEPA,167.0,161.0,328.0,2021,7
EDDB,165.0,163.0,328.0,2021,7
LIEA,154.0,160.0,314.0,2021,7
LTFM,149.0,160.0,309.0,2021,7
LSZH,153.0,155.0,308.0,2021,7
EBMB,174.0,132.0,306.0,2021,7
LMML,146.0,150.0,296.0,2021,7
LFPO,138.0,138.0,276.0,2021,7
OTHH,121.0,147.0,268.0,2021,7
EBBR,101.0,163.0,264.0,2021,7
LGAV,122.0,114.0,236.0,2021,7
ELLX,110.0,113.0,223.0,2021,7
EPWA,109.0,110.0,219.0,2021,7
LLBG,109.0,106.0,215.0,2021,7
LGMK,68.0,131.0,199.0,2021,7
EIDW,91.0,95.0,186.0,2021,7
LEMG,87.0,87.0,174.0,2021,7
UUEE,80.0,92.0,172.0,2021,7
LBSF,82.0,85.0,167.0,2021,7
OMDB,90.0,75.0,165.0,2021,7
LHBP,81.0,82.0,163.0,2021,7
LTFJ,77.0,78.0,155.0,2021,7
LSGG,67.0,87.0,154.0,2021,7
UKBB,75.0,78.0,153.0,2021,7
EDDL,71.0,77.0,148.0,2021,7
LIPQ,68.0,69.0,137.0,2021,7
LIMJ,70.0,66.0,136.0,2021,7
EBLG,59.0,68.0,127.0,2021,7
LPPR,61.0,63.0,124.0,2021,7
LICC,109.0,15.0,124.0,2021,7
LFMN,83.0,41.0,124.0,2021,7
EBCI,58.0,65.0,123.0,2021,7
LIRA,57.0,65.0,122.0,2021,7
EDDH,58.0,60.0,118.0,2021,7
KEWR,58.0,59.0,117.0,2021,7
LGRP,64.0,51.0,115.0,2021,7
EGNX,59.0,54.0,113.0,2021,7
EHEH,51.0,60.0,111.0,2021,7
EVRA,56.0,53.0,109.0,2021,7
LEMH,53.0,54.0,107.0,2021,7
LIED,10.0,95.0,105.0,2021,7
EFHK,52.0,53.0,105.0,2021,7
LEAL,53.0,52.0,105.0,2021,7
LIPX,51.0,49.0,100.0,2021,7
LFOB,47.0,50.0,97.0,2021,7
EPKK,46.0,48.0,94.0,2021,7
UUWW,46.0,46.0,92.0,2021,7
EGCC,43.0,48.0,91.0,2021,7
LIMF,75.0,12.0,87.0,2021,7
LICB,43.0,42.0,85.0,2021,7
